time, angle1, vel1, acc1
5354,66.53, 0.01, -7317.47
10369,66.53, 0.01, -0.16
15369,66.53, 0.01, -0.14
20371,66.62, 0.03, 5.46
25373,66.62, 0.03, -0.62
30383,66.53, 0.00, -6.16
35393,66.71, 0.06, 11.17
40388,66.53, -0.00, -12.20
45383,66.71, 0.05, 11.26
50389,66.53, -0.01, -12.11
55403,66.53, -0.01, 0.16
60395,66.80, 0.08, 16.91
65404,66.80, 0.07, -1.39
70400,67.06, 0.15, 15.50
75410,67.41, 0.25, 19.66
80426,67.76, 0.33, 17.86
85416,68.20, 0.44, 21.86
90422,68.82, 0.60, 31.01
95426,69.26, 0.68, 17.04
100435,70.05, 0.87, 37.81
105441,70.66, 0.99, 23.20
110433,71.46, 1.15, 32.31
115440,72.42, 1.35, 40.50
120444,73.30, 1.51, 31.27
125454,74.27, 1.68, 33.93
130449,75.41, 1.89, 42.13
135455,76.38, 2.03, 27.08
140458,77.61, 2.23, 41.32
145454,78.93, 2.45, 43.27
150455,80.24, 2.64, 39.28
155467,81.30, 2.74, 18.85
160472,82.88, 2.99, 50.90
165476,84.11, 3.11, 23.91
170472,85.61, 3.30, 38.19
175479,87.10, 3.48, 34.84
180482,88.86, 3.72, 48.50
185484,90.26, 3.83, 21.74
190489,91.93, 4.01, 36.49
195493,93.60, 4.18, 33.14
200491,95.45, 4.38, 41.38
205496,96.94, 4.46, 15.23
210496,98.88, 4.67, 41.80
215505,100.55, 4.78, 21.20
220503,102.57, 4.98, 41.74
225507,104.50, 5.15, 32.19
230510,106.44, 5.29, 29.36
235511,108.28, 5.40, 21.02
240517,110.48, 5.60, 41.49
245520,112.68, 5.79, 37.67
250523,114.79, 5.94, 28.74
255527,116.98, 6.10, 31.75
260534,119.27, 6.27, 34.31
265537,121.55, 6.42, 31.19
270537,123.93, 6.59, 34.14
275543,126.47, 6.80, 41.99
280542,128.94, 6.97, 32.75
285543,131.57, 7.17, 40.96
290546,134.21, 7.36, 37.12
295557,137.11, 7.61, 50.33
300556,140.10, 7.87, 51.61
305556,143.09, 8.10, 47.01
310562,146.25, 8.37, 53.73
315570,149.41, 8.61, 48.78
320566,152.75, 8.89, 55.75
325571,156.36, 9.23, 67.30
330572,159.96, 9.54, 61.10
335586,163.74, 9.87, 66.43
340583,167.61, 10.20, 66.55
345585,171.65, 10.56, 71.57
350598,175.96, 10.96, 81.26
355592,180.35, 11.37, 80.35
360593,184.75, 11.73, 72.57
365597,189.23, 12.09, 71.48
370600,194.06, 12.52, 87.36
375604,198.63, 12.84, 62.69
380607,203.47, 13.21, 73.82
385615,208.21, 13.51, 61.08
390611,212.96, 13.79, 56.26
395619,217.71, 14.05, 50.51
400623,222.54, 14.31, 52.08
405627,227.29, 14.51, 41.31
410631,231.94, 14.67, 31.99
415624,236.51, 14.79, 24.18
420639,240.82, 14.81, 4.05
425646,245.30, 14.89, 15.98
430634,249.61, 14.91, 2.98
435641,253.92, 14.92, 2.38
440641,258.13, 14.91, -2.93
445646,262.27, 14.86, -8.58
450646,266.31, 14.80, -13.06
455650,270.35, 14.74, -12.14
460653,274.39, 14.68, -11.03
465663,278.26, 14.57, -21.37
470659,282.39, 14.56, -2.34
475661,286.52, 14.55, -2.29
480667,290.39, 14.46, -18.94
485666,294.70, 14.51, 11.02
490672,298.83, 14.50, -1.52
495673,303.22, 14.58, 15.59
500681,307.53, 14.62, 8.37
505681,312.36, 14.83, 41.44
510686,317.46, 15.10, 54.22
515685,322.21, 15.24, 27.22
520693,327.83, 15.64, 80.14
525691,333.37, 15.98, 67.80
530701,339.35, 16.42, 88.99
535701,345.59, 16.91, 98.29
540713,352.18, 17.47, 111.18
545706,359.47, 18.20, 146.38
550716,6.50, 18.78, 115.43
555717,13.80, 19.39, 121.99
560719,21.18, 19.97, 116.67
565721,29.09, 20.67, 139.50
570724,36.30, 21.08, 82.23
575726,43.59, 21.48, 80.34
580736,50.98, 21.88, 78.48
585733,57.57, 21.98, 21.29
590740,64.34, 22.13, 30.12
595743,70.31, 22.02, -22.56
600755,76.46, 21.97, -10.22
605749,82.09, 21.76, -41.21
610752,87.89, 21.63, -27.24
615766,93.43, 21.42, -42.15
620759,98.70, 21.15, -53.44
625761,103.97, 20.90, -49.36
630775,109.07, 20.62, -57.14
635771,114.43, 20.45, -33.57
640773,119.88, 20.32, -25.52
645779,125.07, 20.12, -40.18
650785,130.78, 20.11, -2.87
655778,136.58, 20.12, 3.56
660786,142.56, 20.19, 13.67
665790,148.89, 20.36, 34.69
670794,155.57, 20.64, 54.43
675796,162.51, 20.97, 65.75
680799,169.80, 21.38, 82.78
685815,177.45, 21.86, 96.31
690809,185.36, 22.39, 106.45
695808,193.62, 22.98, 117.29
700809,201.71, 23.46, 96.25
705809,210.41, 24.09, 126.51
710816,218.32, 24.42, 64.30
715824,226.58, 24.82, 80.79
720829,234.40, 25.05, 45.80
725831,242.14, 25.23, 36.05
730829,249.17, 25.17, -11.27
735829,256.03, 25.06, -21.96
740836,262.97, 24.99, -14.93
745839,269.21, 24.70, -57.81
750846,275.71, 24.52, -35.79
755844,282.13, 24.33, -37.85
