Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 232.383, 0.218
10, 0.000, 232.295, 0.226
15, 0.000, 232.295, 0.206
20, 0.000, 232.295, 0.187
25, 0.000, 232.295, 0.170
30, 0.001, 232.295, 0.155
35, 0.001, 232.295, 0.141
40, 0.001, 232.295, 0.128
45, 0.002, 232.295, 0.116
50, 0.002, 232.295, 0.106
55, 0.003, 232.295, 0.096
60, 0.004, 232.295, 0.087
65, 0.004, 232.295, 0.079
70, 0.005, 232.295, 0.072
75, 0.006, 232.295, 0.066
80, 0.007, 232.295, 0.060
85, 0.008, 232.295, 0.054
90, 0.009, 232.295, 0.049
95, 0.010, 232.207, 0.073
100, 0.011, 232.295, 0.038
105, 0.012, 232.295, 0.035
110, 0.013, 232.295, 0.032
115, 0.014, 232.295, 0.029
120, 0.016, 232.295, 0.026
125, 0.017, 232.295, 0.024
130, 0.018, 232.295, 0.022
135, 0.020, 232.207, 0.048
140, 0.022, 232.383, -0.013
145, 0.023, 232.383, -0.011
150, 0.025, 232.295, 0.017
155, 0.027, 232.383, -0.012
160, 0.028, 232.207, 0.045
165, 0.030, 232.295, 0.013
170, 0.032, 232.295, 0.012
175, 0.034, 232.295, 0.011
180, 0.036, 232.383, -0.018
185, 0.038, 232.295, 0.011
190, 0.040, 232.295, 0.010
195, 0.043, 232.207, 0.037
200, 0.045, 232.295, 0.006
205, 0.047, 232.383, -0.022
210, 0.050, 232.207, 0.035
215, 0.052, 232.295, 0.004
220, 0.055, 232.295, 0.004
225, 0.057, 232.383, -0.024
230, 0.060, 232.383, -0.022
235, 0.063, 232.295, 0.008
240, 0.065, 232.295, 0.007
245, 0.068, 232.207, 0.034
250, 0.071, 232.295, 0.003
255, 0.074, 232.295, 0.003
260, 0.077, 232.295, 0.003
265, 0.080, 232.295, 0.002
270, 0.083, 232.383, -0.026
275, 0.086, 232.295, 0.005
280, 0.089, 232.383, -0.024
285, 0.093, 232.295, 0.006
290, 0.096, 232.295, 0.006
295, 0.099, 232.383, -0.023
300, 0.103, 232.295, 0.007
305, 0.106, 232.295, 0.007
310, 0.110, 232.383, -0.022
315, 0.113, 232.295, 0.008
320, 0.117, 232.295, 0.007
325, 0.121, 232.207, 0.034
330, 0.125, 232.295, 0.003
335, 0.129, 232.295, 0.003
340, 0.132, 232.295, 0.003
345, 0.136, 232.295, 0.003
350, 0.140, 232.295, 0.002
355, 0.144, 232.207, 0.030
360, 0.149, 232.295, -0.001
365, 0.153, 232.383, -0.028
370, 0.157, 232.295, 0.002
375, 0.161, 232.207, 0.030
380, 0.166, 232.383, -0.029
385, 0.170, 232.295, 0.002
390, 0.175, 232.295, 0.002
395, 0.179, 232.295, 0.001
400, 0.184, 232.295, 0.001
405, 0.189, 232.383, -0.027
410, 0.193, 232.207, 0.031
415, 0.198, 232.295, 0.001
420, 0.203, 232.295, 0.001
425, 0.208, 232.295, 0.001
430, 0.213, 232.383, -0.027
435, 0.218, 232.383, -0.025
440, 0.223, 232.207, 0.033
445, 0.228, 232.295, 0.002
450, 0.233, 232.295, 0.002
455, 0.238, 232.295, 0.002
460, 0.244, 232.295, 0.002
465, 0.249, 232.383, -0.026
470, 0.254, 232.207, 0.032
475, 0.260, 232.295, 0.001
480, 0.265, 232.383, -0.027
485, 0.271, 232.295, 0.003
490, 0.276, 232.295, 0.003
495, 0.282, 232.295, 0.003
500, 0.288, 232.383, -0.025
505, 0.294, 232.295, 0.005
510, 0.300, 232.295, 0.004
515, 0.305, 232.295, 0.004
520, 0.311, 232.295, 0.004
525, 0.317, 232.295, 0.003
530, 0.323, 232.295, 0.003
535, 0.330, 232.295, 0.003
540, 0.336, 232.383, -0.025
545, 0.342, 232.295, 0.005
550, 0.348, 232.383, -0.024
555, 0.355, 232.383, -0.021
560, 0.361, 232.295, 0.008
565, 0.368, 232.295, 0.008
570, 0.374, 232.383, -0.021
575, 0.381, 232.295, 0.009
580, 0.387, 232.295, 0.008
585, 0.394, 232.383, -0.021
590, 0.401, 232.295, 0.009
595, 0.408, 232.295, 0.008
600, 0.414, 232.383, -0.020
605, 0.421, 232.295, 0.009
610, 0.428, 232.383, -0.019
615, 0.435, 232.295, 0.010
620, 0.442, 232.295, 0.009
625, 0.450, 232.207, 0.036
630, 0.457, 232.383, -0.023
635, 0.464, 232.295, 0.007
640, 0.471, 232.207, 0.035
645, 0.479, 232.295, 0.003
650, 0.486, 232.295, 0.003
655, 0.493, 232.383, -0.025
660, 0.501, 232.295, 0.005
665, 0.509, 232.295, 0.005
670, 0.516, 232.383, -0.024
675, 0.524, 232.383, -0.022
680, 0.532, 232.295, 0.008
685, 0.539, 232.295, 0.008
690, 0.547, 232.295, 0.007
695, 0.555, 232.295, 0.006
700, 0.563, 232.295, 0.006
705, 0.571, 232.383, -0.023
710, 0.579, 232.295, 0.007
715, 0.587, 232.295, 0.007
720, 0.595, 232.295, 0.006
725, 0.604, 232.295, 0.005
730, 0.612, 232.383, -0.023
735, 0.620, 232.295, 0.007
740, 0.629, 232.295, 0.006
745, 0.637, 232.383, -0.022
750, 0.645, 232.383, -0.020
755, 0.654, 232.295, 0.010
760, 0.663, 232.295, 0.009
765, 0.671, 232.295, 0.008
770, 0.680, 232.383, -0.021
775, 0.689, 232.207, 0.037
780, 0.697, 232.295, 0.006
785, 0.706, 232.207, 0.033
790, 0.715, 232.295, 0.002
795, 0.724, 232.295, 0.002
800, 0.733, 232.383, -0.026
805, 0.742, 232.207, 0.032
810, 0.751, 232.383, -0.027
815, 0.760, 232.295, 0.004
820, 0.770, 232.295, 0.003
825, 0.779, 232.383, -0.025
830, 0.788, 232.295, 0.005
835, 0.798, 232.383, -0.023
840, 0.807, 232.295, 0.007
845, 0.816, 232.383, -0.022
850, 0.826, 232.383, -0.020
855, 0.836, 232.295, 0.010
860, 0.845, 232.383, -0.019
865, 0.855, 232.295, 0.011
870, 0.865, 232.471, -0.046
875, 0.874, 232.383, -0.014
880, 0.884, 232.383, -0.013
885, 0.894, 232.471, -0.039
890, 0.904, 232.559, -0.064
895, 0.914, 232.646, -0.086
900, 0.924, 232.822, -0.134
905, 0.934, 232.998, -0.177
910, 0.944, 233.174, -0.217
915, 0.954, 233.438, -0.281
920, 0.965, 233.613, -0.311
925, 0.975, 233.965, -0.395
930, 0.985, 234.053, -0.387
935, 0.996, 234.404, -0.463
940, 1.006, 234.844, -0.560
945, 1.016, 235.107, -0.593
950, 1.027, 235.459, -0.651
955, 1.038, 235.811, -0.703
960, 1.048, 236.250, -0.779
965, 1.059, 236.602, -0.820
970, 1.070, 236.953, -0.857
975, 1.080, 237.393, -0.918
980, 1.091, 237.832, -0.974
985, 1.102, 238.096, -0.970
990, 1.113, 238.535, -1.021
995, 1.124, 239.150, -1.123
1000, 1.135, 239.414, -1.105
1005, 1.146, 239.941, -1.172
1010, 1.157, 240.293, -1.177
1015, 1.168, 240.820, -1.237
1020, 1.179, 241.348, -1.292
1025, 1.191, 241.787, -1.314
1030, 1.202, 242.227, -1.335
1035, 1.213, 242.754, -1.381
1040, 1.225, 243.193, -1.394
1045, 1.236, 243.721, -1.435
1050, 1.248, 244.248, -1.472
1055, 1.259, 244.688, -1.478
1060, 1.271, 245.303, -1.539
1065, 1.282, 245.830, -1.567
1070, 1.294, 246.270, -1.564
1075, 1.306, 246.797, -1.589
1080, 1.317, 247.236, -1.584
1085, 1.329, 247.764, -1.607
1090, 1.341, 248.379, -1.657
1095, 1.353, 248.906, -1.673
1100, 1.365, 249.434, -1.689
1105, 1.377, 249.961, -1.703
1110, 1.389, 250.488, -1.715
1115, 1.401, 251.016, -1.727
1120, 1.413, 251.631, -1.765
1125, 1.425, 252.070, -1.744
1130, 1.438, 252.686, -1.781
1135, 1.450, 253.213, -1.786
1140, 1.462, 253.828, -1.819
1145, 1.474, 254.443, -1.849
1150, 1.487, 254.971, -1.849
1155, 1.499, 255.410, -1.820
1160, 1.512, 256.025, -1.850
1165, 1.524, 256.641, -1.877
1170, 1.537, 257.168, -1.874
1175, 1.550, 257.783, -1.899
1180, 1.562, 258.311, -1.893
1185, 1.575, 258.838, -1.889
1190, 1.588, 259.453, -1.912
1195, 1.600, 260.068, -1.934
1200, 1.613, 260.508, -1.897
1205, 1.626, 261.211, -1.948
1210, 1.639, 261.826, -1.966
1215, 1.652, 262.441, -1.983
1220, 1.665, 262.969, -1.970
1225, 1.678, 263.760, -2.042
1230, 1.691, 264.287, -2.024
1235, 1.704, 264.814, -2.007
1240, 1.718, 265.518, -2.048
1245, 1.731, 266.309, -2.113
1250, 1.744, 266.924, -2.116
1255, 1.757, 267.539, -2.119
1260, 1.771, 268.242, -2.150
1265, 1.784, 268.857, -2.150
1270, 1.798, 269.561, -2.178
1275, 1.811, 270.352, -2.231
1280, 1.825, 271.055, -2.251
1285, 1.838, 271.758, -2.270
1290, 1.852, 272.549, -2.314
1295, 1.865, 273.340, -2.355
1300, 1.879, 274.131, -2.392
1305, 1.893, 274.922, -2.426
1310, 1.906, 275.801, -2.484
1315, 1.920, 276.592, -2.510
1320, 1.934, 277.471, -2.561
1325, 1.948, 278.262, -2.579
1330, 1.962, 279.229, -2.651
1335, 1.976, 280.020, -2.661
1340, 1.990, 280.986, -2.727
1345, 2.004, 281.953, -2.786
1350, 2.018, 282.832, -2.811
1355, 2.032, 283.975, -2.918
1360, 2.046, 284.941, -2.960
1365, 2.060, 285.908, -2.998
1370, 2.075, 286.963, -3.060
1375, 2.089, 288.105, -3.144
1380, 2.103, 289.160, -3.194
1385, 2.118, 290.391, -3.293
1390, 2.132, 291.709, -3.413
1395, 2.146, 292.852, -3.465
1400, 2.161, 293.994, -3.513
1405, 2.175, 295.312, -3.612
1410, 2.190, 296.631, -3.702
1415, 2.205, 297.773, -3.728
1420, 2.219, 299.268, -3.863
1425, 2.234, 300.586, -3.931
1430, 2.249, 301.992, -4.020
1435, 2.263, 303.311, -4.072
1440, 2.278, 304.893, -4.205
1445, 2.293, 306.211, -4.241
1450, 2.308, 307.705, -4.331
1455, 2.323, 309.199, -4.411
1460, 2.337, 310.781, -4.512
1465, 2.352, 312.363, -4.604
1470, 2.367, 313.945, -4.688
1475, 2.382, 315.527, -4.764
1480, 2.397, 317.285, -4.889
1485, 2.413, 318.955, -4.975
1490, 2.428, 320.625, -5.053
1495, 2.443, 322.383, -5.151
1500, 2.458, 324.229, -5.269
1505, 2.473, 325.898, -5.321
1510, 2.489, 327.832, -5.450
1515, 2.504, 329.590, -5.513
1520, 2.519, 331.523, -5.626
1525, 2.535, 333.369, -5.700
1530, 2.550, 335.303, -5.796
1535, 2.565, 337.236, -5.883
1540, 2.581, 339.170, -5.962
1545, 2.596, 341.016, -6.006
1550, 2.612, 343.213, -6.158
1555, 2.627, 345.146, -6.212
1560, 2.643, 347.256, -6.316
1565, 2.659, 349.365, -6.412
1570, 2.674, 351.387, -6.470
1575, 2.690, 353.672, -6.608
1580, 2.706, 355.605, -6.621
1585, 2.722, 357.803, -6.717
1590, 2.737, 0.000, -6.804
1595, 2.753, 2.285, -6.910
1600, 2.769, 4.395, -6.952
1605, 2.785, 6.504, -6.990
1610, 2.801, 8.789, -7.080
1615, 2.817, 11.074, -7.162
1620, 2.833, 13.271, -7.209
1625, 2.849, 15.469, -7.253
1630, 2.865, 17.754, -7.320
1635, 2.881, 19.863, -7.324
1640, 2.897, 22.148, -7.384
1645, 2.913, 24.258, -7.383
1650, 2.930, 26.367, -7.380
1655, 2.946, 28.740, -7.463
1660, 2.962, 30.762, -7.426
1665, 2.978, 32.959, -7.450
1670, 2.995, 35.156, -7.470
1675, 3.011, 37.354, -7.488
1680, 3.027, 39.551, -7.505
1685, 3.044, 41.660, -7.492
1690, 3.060, 43.857, -7.509
1695, 3.076, 45.879, -7.467
1700, 3.093, 47.988, -7.459
1705, 3.109, 50.098, -7.450
1710, 3.126, 52.119, -7.415
1715, 3.143, 54.141, -7.382
1720, 3.159, 56.338, -7.409
1725, 3.176, 58.359, -7.378
1730, 3.192, 60.293, -7.320
1735, 3.209, 62.314, -7.297
1740, 3.226, 64.336, -7.275
1745, 3.243, 66.357, -7.255
1750, 3.259, 68.291, -7.210
1755, 3.276, 70.225, -7.168
