Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 310.254, 0.003
10, 0.000, 310.254, 0.003
15, 0.000, 310.342, -0.025
20, 0.000, 310.342, -0.023
25, 0.000, 310.254, 0.007
30, 0.001, 310.254, 0.006
35, 0.001, 310.342, -0.022
40, 0.001, 310.254, 0.008
45, 0.002, 310.430, -0.049
50, 0.002, 310.342, -0.016
55, 0.003, 310.254, 0.013
60, 0.004, 310.342, -0.016
65, 0.004, 310.254, 0.013
70, 0.005, 310.254, 0.012
75, 0.006, 310.342, -0.017
80, 0.007, 310.254, 0.013
85, 0.008, 310.342, -0.016
90, 0.009, 310.342, -0.015
95, 0.010, 310.342, -0.014
100, 0.011, 310.254, 0.016
105, 0.012, 310.342, -0.014
110, 0.013, 310.342, -0.013
115, 0.014, 310.254, 0.017
120, 0.016, 310.254, 0.015
125, 0.017, 310.254, 0.014
130, 0.018, 310.254, 0.012
135, 0.020, 310.342, -0.017
140, 0.022, 310.254, 0.013
145, 0.023, 310.254, 0.012
150, 0.025, 310.254, 0.011
155, 0.027, 310.254, 0.010
160, 0.028, 310.342, -0.019
165, 0.030, 310.254, 0.010
170, 0.032, 310.254, 0.010
175, 0.034, 310.342, -0.019
180, 0.036, 310.254, 0.010
185, 0.038, 310.342, -0.018
190, 0.040, 310.342, -0.017
195, 0.043, 310.254, 0.013
200, 0.045, 310.254, 0.011
205, 0.047, 310.342, -0.017
210, 0.050, 310.342, -0.016
215, 0.052, 310.254, 0.013
220, 0.055, 310.342, -0.016
225, 0.057, 310.342, -0.014
230, 0.060, 310.342, -0.013
235, 0.063, 310.254, 0.016
240, 0.065, 310.342, -0.013
245, 0.068, 310.254, 0.016
250, 0.071, 310.254, 0.014
255, 0.074, 310.254, 0.013
260, 0.077, 310.254, 0.012
265, 0.080, 310.254, 0.011
270, 0.083, 310.342, -0.018
275, 0.086, 310.254, 0.012
280, 0.089, 310.254, 0.010
285, 0.093, 310.342, -0.018
