Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 70.840, -0.151
10, 0.000, 70.752, -0.060
15, 0.000, 70.752, -0.048
20, 0.000, 70.840, -0.100
25, 0.000, 70.840, -0.080
30, 0.001, 70.840, -0.064
35, 0.001, 70.752, 0.010
40, 0.001, 70.840, -0.053
45, 0.002, 70.752, 0.019
50, 0.002, 70.752, 0.015
55, 0.003, 70.752, 0.012
60, 0.004, 70.752, 0.010
65, 0.004, 70.752, 0.008
70, 0.005, 70.752, 0.006
75, 0.006, 70.752, 0.005
80, 0.007, 70.752, 0.004
85, 0.008, 70.752, 0.003
90, 0.009, 70.752, 0.003
95, 0.010, 70.752, 0.002
100, 0.011, 70.752, 0.002
105, 0.012, 70.840, -0.060
110, 0.013, 70.840, -0.048
115, 0.014, 70.664, 0.084
120, 0.016, 70.752, 0.006
125, 0.017, 70.840, -0.057
130, 0.018, 70.752, 0.016
135, 0.020, 70.752, 0.013
140, 0.022, 70.752, 0.010
145, 0.023, 70.752, 0.008
150, 0.025, 70.752, 0.007
155, 0.027, 70.752, 0.005
160, 0.028, 70.752, 0.004
165, 0.030, 70.752, 0.003
170, 0.032, 70.840, -0.059
175, 0.034, 70.840, -0.047
180, 0.036, 70.840, -0.038
185, 0.038, 70.752, 0.031
190, 0.040, 70.752, 0.025
195, 0.043, 70.752, 0.020
200, 0.045, 70.840, -0.045
205, 0.047, 70.752, 0.025
210, 0.050, 70.752, 0.020
215, 0.052, 70.840, -0.045
220, 0.055, 70.752, 0.025
225, 0.057, 70.752, 0.020
230, 0.060, 70.752, 0.016
235, 0.063, 70.752, 0.013
240, 0.065, 70.752, 0.010
245, 0.068, 70.752, 0.008
250, 0.071, 70.752, 0.007
255, 0.074, 70.840, -0.056
260, 0.077, 70.752, 0.016
265, 0.080, 70.664, 0.075
270, 0.083, 70.752, -0.002
275, 0.086, 70.840, -0.063
280, 0.089, 70.840, -0.050
285, 0.093, 70.840, -0.040
290, 0.096, 70.752, 0.029
295, 0.099, 70.752, 0.023
300, 0.103, 70.840, -0.043
305, 0.106, 70.752, 0.027
310, 0.110, 70.752, 0.022
315, 0.113, 70.752, 0.017
320, 0.117, 70.752, 0.014
325, 0.121, 70.840, -0.050
330, 0.125, 70.752, 0.021
335, 0.129, 70.752, 0.017
340, 0.132, 70.752, 0.014
345, 0.136, 70.752, 0.011
350, 0.140, 70.752, 0.009
355, 0.144, 70.752, 0.007
360, 0.149, 70.752, 0.006
365, 0.153, 70.840, -0.057
370, 0.157, 70.840, -0.046
375, 0.161, 70.840, -0.036
380, 0.166, 70.664, 0.094
385, 0.170, 70.840, -0.048
390, 0.175, 70.752, 0.023
395, 0.179, 70.752, 0.018
400, 0.184, 70.752, 0.015
405, 0.189, 70.752, 0.012
410, 0.193, 70.752, 0.009
415, 0.198, 70.752, 0.008
420, 0.203, 70.752, 0.006
425, 0.208, 70.752, 0.005
430, 0.213, 70.840, -0.058
435, 0.218, 70.840, -0.046
440, 0.223, 70.840, -0.037
445, 0.228, 70.752, 0.032
450, 0.233, 70.840, -0.036
455, 0.238, 70.752, 0.033
460, 0.244, 70.752, 0.026
465, 0.249, 70.840, -0.040
470, 0.254, 70.752, 0.029
475, 0.260, 70.752, 0.023
480, 0.265, 70.752, 0.019
485, 0.271, 70.840, -0.047
490, 0.276, 70.840, -0.037
495, 0.282, 70.752, 0.032
500, 0.288, 70.752, 0.025
505, 0.294, 70.840, -0.041
510, 0.300, 70.752, 0.028
515, 0.305, 70.752, 0.023
520, 0.311, 70.840, -0.043
525, 0.317, 70.752, 0.027
530, 0.323, 70.752, 0.021
535, 0.330, 70.840, -0.044
540, 0.336, 70.752, 0.026
545, 0.342, 70.752, 0.021
550, 0.348, 70.752, 0.017
555, 0.355, 70.664, 0.075
560, 0.361, 70.752, -0.002
565, 0.368, 70.840, -0.063
570, 0.374, 70.752, 0.011
575, 0.381, 70.752, 0.009
580, 0.387, 70.752, 0.007
585, 0.394, 70.752, 0.006
590, 0.401, 70.752, 0.005
595, 0.408, 70.752, 0.004
600, 0.414, 70.752, 0.003
605, 0.421, 70.664, 0.064
610, 0.428, 70.664, 0.051
615, 0.435, 70.752, -0.021
620, 0.442, 70.752, -0.016
625, 0.450, 70.752, -0.013
630, 0.457, 70.840, -0.072
635, 0.464, 70.752, 0.004
640, 0.471, 70.752, 0.003
645, 0.479, 70.840, -0.059
650, 0.486, 70.840, -0.047
655, 0.493, 70.752, 0.024
660, 0.501, 70.840, -0.042
665, 0.509, 70.664, 0.089
670, 0.516, 70.752, 0.010
675, 0.524, 70.752, 0.008
680, 0.532, 70.752, 0.006
685, 0.539, 70.752, 0.005
690, 0.547, 70.840, -0.057
695, 0.555, 70.752, 0.015
700, 0.563, 70.752, 0.012
705, 0.571, 70.752, 0.010
710, 0.579, 70.752, 0.008
715, 0.587, 70.752, 0.006
720, 0.595, 70.752, 0.005
725, 0.604, 70.752, 0.004
730, 0.612, 70.840, -0.058
735, 0.620, 70.840, -0.047
740, 0.629, 70.840, -0.037
745, 0.637, 70.752, 0.032
750, 0.645, 70.840, -0.036
755, 0.654, 70.664, 0.094
760, 0.663, 70.840, -0.048
765, 0.671, 70.752, 0.023
770, 0.680, 70.752, 0.019
