Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 210.725, 0.000
10, 0.038, 210.725, 0.000
15, 0.075, 210.725, 0.000
20, 0.113, 210.725, 0.000
25, 0.151, 210.725, 0.000
30, 0.188, 210.725, 0.000
35, 0.226, 210.725, 0.000
40, 0.264, 210.725, 0.000
45, 0.302, 210.725, 0.000
50, 0.339, 210.725, 0.000
55, 0.377, 210.725, 0.000
60, 0.415, 210.725, 0.000
65, 0.452, 210.725, 0.000
70, 0.490, 210.725, 0.000
75, 0.528, 210.725, 0.000
80, 0.565, 210.725, 0.000
85, 0.603, 210.725, 0.000
90, 0.641, 210.725, 0.000
95, 0.678, 210.725, 0.000
100, 0.716, 210.725, 0.000
105, 0.753, 210.725, 0.000
110, 0.791, 210.725, 0.000
115, 0.829, 210.725, 0.000
120, 0.866, 210.725, 0.000
125, 0.904, 210.725, 0.000
130, 0.942, 210.725, 0.000
135, 0.979, 210.725, 0.000
140, 1.017, 210.725, 0.000
145, 1.054, 210.725, 0.000
150, 1.092, 210.725, 0.000
155, 1.129, 210.725, 0.000
160, 1.167, 210.725, 0.000
165, 1.204, 210.725, 0.000
170, 1.242, 210.725, 0.000
175, 1.279, 210.725, 0.000
180, 1.317, 210.725, 0.000
185, 1.354, 210.725, 0.000
190, 1.392, 210.725, 0.000
195, 1.429, 210.725, 0.000
200, 1.467, 210.813, -0.028
205, 1.504, 210.813, -0.025
210, 1.541, 210.901, -0.051
215, 1.579, 211.077, -0.102
220, 1.616, 211.253, -0.149
225, 1.653, 211.429, -0.191
230, 1.691, 211.692, -0.257
235, 1.728, 211.868, -0.290
240, 1.765, 212.132, -0.347
245, 1.803, 212.484, -0.427
250, 1.840, 212.747, -0.472
255, 1.877, 213.099, -0.541
260, 1.914, 213.451, -0.603
265, 1.952, 213.802, -0.660
270, 1.989, 214.242, -0.740
275, 2.026, 214.681, -0.812
280, 2.063, 215.033, -0.850
285, 2.100, 215.473, -0.912
290, 2.137, 216.000, -0.997
295, 2.174, 216.527, -1.074
300, 2.212, 217.055, -1.143
305, 2.249, 217.582, -1.207
310, 2.286, 218.110, -1.265
315, 2.323, 218.725, -1.345
320, 2.360, 219.341, -1.418
325, 2.397, 219.868, -1.457
330, 2.433, 220.484, -1.520
335, 2.470, 221.187, -1.605
340, 2.507, 221.890, -1.682
345, 2.544, 222.593, -1.753
350, 2.581, 223.297, -1.817
355, 2.618, 224.088, -1.903
360, 2.654, 224.791, -1.953
365, 2.691, 225.670, -2.055
370, 2.728, 226.549, -2.147
375, 2.765, 227.516, -2.259
380, 2.801, 228.484, -2.361
385, 2.838, 229.275, -2.398
390, 2.875, 230.066, -2.431
395, 2.911, 230.945, -2.489
400, 2.948, 231.912, -2.570
405, 2.984, 232.879, -2.643
410, 3.021, 233.846, -2.710
415, 3.057, 234.725, -2.743
420, 3.094, 235.692, -2.801
425, 3.130, 236.659, -2.853
430, 3.166, 237.714, -2.929
435, 3.203, 238.593, -2.942
440, 3.239, 239.473, -2.953
445, 3.275, 240.352, -2.964
450, 3.312, 241.231, -2.974
455, 3.348, 242.286, -3.038
460, 3.384, 243.341, -3.097
465, 3.420, 244.396, -3.151
470, 3.456, 245.626, -3.255
475, 3.492, 246.681, -3.294
480, 3.528, 247.736, -3.330
485, 3.564, 248.879, -3.390
490, 3.600, 250.022, -3.445
495, 3.636, 251.253, -3.522
500, 3.672, 252.484, -3.593
505, 3.708, 253.626, -3.629
510, 3.744, 254.857, -3.690
515, 3.780, 256.088, -3.746
520, 3.816, 257.319, -3.796
525, 3.851, 258.637, -3.870
530, 3.887, 259.868, -3.909
535, 3.923, 261.275, -4.000
540, 3.958, 262.505, -4.027
545, 3.994, 263.824, -4.080
550, 4.029, 265.231, -4.155
555, 4.065, 266.637, -4.224
560, 4.100, 268.132, -4.315
565, 4.136, 269.363, -4.314
570, 4.171, 270.769, -4.368
575, 4.206, 272.176, -4.418
580, 4.242, 273.582, -4.462
585, 4.277, 274.989, -4.504
590, 4.312, 276.484, -4.569
595, 4.347, 277.978, -4.628
600, 4.382, 279.473, -4.682
605, 4.417, 280.967, -4.730
610, 4.453, 282.462, -4.776
615, 4.488, 284.132, -4.872
620, 4.522, 285.714, -4.931
625, 4.557, 287.297, -4.985
630, 4.592, 288.879, -5.035
635, 4.627, 290.462, -5.080
640, 4.662, 292.132, -5.148
645, 4.696, 293.890, -5.239
650, 4.731, 295.560, -5.293
655, 4.766, 297.319, -5.370
660, 4.800, 298.989, -5.412
665, 4.835, 300.835, -5.507
670, 4.869, 302.593, -5.565
675, 4.904, 304.440, -5.645
680, 4.938, 306.198, -5.690
685, 4.973, 308.044, -5.759
690, 5.007, 309.890, -5.822
695, 5.041, 311.912, -5.935
700, 5.075, 313.846, -6.009
705, 5.109, 316.132, -6.188
710, 5.143, 318.154, -6.268
715, 5.177, 320.176, -6.341
720, 5.211, 322.198, -6.406
725, 5.245, 324.308, -6.494
730, 5.279, 326.330, -6.545
735, 5.313, 328.352, -6.593
740, 5.347, 330.286, -6.607
745, 5.381, 332.308, -6.649
750, 5.414, 334.330, -6.687
755, 5.448, 336.440, -6.749
760, 5.481, 338.725, -6.861
765, 5.515, 341.011, -6.963
770, 5.548, 343.297, -7.056
775, 5.582, 345.407, -7.085
780, 5.615, 347.868, -7.222
785, 5.648, 350.154, -7.292
790, 5.682, 352.527, -7.383
795, 5.715, 354.989, -7.493
800, 5.748, 357.363, -7.566
805, 5.781, 359.912, -7.688
810, 5.814, 2.286, -7.742
815, 5.847, 4.659, -7.792
820, 5.880, 7.033, -7.838
825, 5.913, 9.670, -7.963
830, 5.945, 12.220, -8.048
835, 5.978, 14.769, -8.127
840, 6.011, 17.231, -8.169
845, 6.043, 19.780, -8.236
850, 6.076, 22.418, -8.325
855, 6.108, 24.879, -8.350
860, 6.141, 27.516, -8.429
865, 6.173, 30.066, -8.472
870, 6.206, 32.527, -8.483
875, 6.238, 34.989, -8.494
880, 6.270, 37.538, -8.531
885, 6.302, 40.000, -8.537
890, 6.334, 42.549, -8.570
895, 6.366, 44.923, -8.546
900, 6.398, 47.560, -8.606
905, 6.430, 50.198, -8.660
910, 6.462, 52.747, -8.684
915, 6.493, 55.297, -8.705
920, 6.525, 57.758, -8.693
925, 6.557, 60.132, -8.658
930, 6.588, 62.330, -8.569
935, 6.620, 64.527, -8.486
940, 6.651, 66.901, -8.470
945, 6.683, 69.275, -8.454
950, 6.714, 71.648, -8.441
