Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 237.656, 0.413
10, 0.000, 237.656, 0.331
15, 0.000, 237.656, 0.265
20, 0.000, 237.656, 0.212
25, 0.000, 237.744, 0.108
30, 0.001, 237.656, 0.148
35, 0.001, 237.656, 0.118
40, 0.001, 237.656, 0.095
45, 0.002, 237.656, 0.076
50, 0.002, 237.656, 0.061
55, 0.003, 237.656, 0.049
60, 0.004, 237.656, 0.039
65, 0.004, 237.656, 0.031
70, 0.005, 237.568, 0.086
75, 0.006, 237.656, 0.008
80, 0.007, 237.656, 0.006
85, 0.008, 237.656, 0.005
90, 0.009, 237.656, 0.004
95, 0.010, 237.744, -0.058
100, 0.011, 237.744, -0.047
105, 0.012, 237.656, 0.024
110, 0.013, 237.656, 0.019
115, 0.014, 237.656, 0.015
120, 0.016, 237.656, 0.012
125, 0.017, 237.744, -0.052
130, 0.018, 237.656, 0.020
135, 0.020, 237.656, 0.016
140, 0.022, 237.656, 0.013
145, 0.023, 237.656, 0.010
150, 0.025, 237.744, -0.053
155, 0.027, 237.744, -0.043
160, 0.028, 237.656, 0.028
165, 0.030, 237.656, 0.022
170, 0.032, 237.656, 0.018
175, 0.034, 237.656, 0.014
180, 0.036, 237.656, 0.011
185, 0.038, 237.744, -0.052
190, 0.040, 237.656, 0.019
195, 0.043, 237.656, 0.016
200, 0.045, 237.568, 0.074
205, 0.047, 237.656, -0.002
210, 0.050, 237.656, -0.002
215, 0.052, 237.744, -0.063
220, 0.055, 237.568, 0.072
225, 0.057, 237.656, -0.003
230, 0.060, 237.656, -0.003
235, 0.063, 237.656, -0.002
240, 0.065, 237.568, 0.060
245, 0.068, 237.656, -0.014
250, 0.071, 237.744, -0.072
255, 0.074, 237.656, 0.004
260, 0.077, 237.744, -0.059
265, 0.080, 237.744, -0.047
270, 0.083, 237.656, 0.024
275, 0.086, 237.656, 0.019
280, 0.089, 237.656, 0.015
285, 0.093, 237.656, 0.012
290, 0.096, 237.656, 0.010
295, 0.099, 237.656, 0.008
300, 0.103, 237.656, 0.006
305, 0.106, 237.744, -0.056
310, 0.110, 237.744, -0.045
315, 0.113, 237.656, 0.025
320, 0.117, 237.568, 0.082
325, 0.121, 237.656, 0.004
330, 0.125, 237.656, 0.003
335, 0.129, 237.744, -0.059
340, 0.132, 237.744, -0.047
345, 0.136, 237.568, 0.085
350, 0.140, 237.656, 0.006
355, 0.144, 237.656, 0.005
360, 0.149, 237.656, 0.004
365, 0.153, 237.656, 0.003
370, 0.157, 237.656, 0.003
375, 0.161, 237.656, 0.002
380, 0.166, 237.656, 0.002
385, 0.170, 237.568, 0.063
390, 0.175, 237.656, -0.011
395, 0.179, 237.656, -0.009
400, 0.184, 237.656, -0.007
405, 0.189, 237.656, -0.006
410, 0.193, 237.656, -0.005
415, 0.198, 237.656, -0.004
420, 0.203, 237.656, -0.003
425, 0.208, 237.656, -0.002
430, 0.213, 237.744, -0.063
435, 0.218, 237.656, 0.011
440, 0.223, 237.656, 0.009
445, 0.228, 237.744, -0.054
450, 0.233, 237.656, 0.018
455, 0.238, 237.656, 0.014
460, 0.244, 237.656, 0.011
465, 0.249, 237.656, 0.009
470, 0.254, 237.656, 0.007
475, 0.260, 237.656, 0.006
480, 0.265, 237.656, 0.005
485, 0.271, 237.656, 0.004
490, 0.276, 237.656, 0.003
495, 0.282, 237.656, 0.002
500, 0.288, 237.656, 0.002
505, 0.294, 237.656, 0.002
510, 0.300, 237.656, 0.001
515, 0.305, 237.656, 0.001
520, 0.311, 237.656, 0.001
525, 0.317, 237.656, 0.001
530, 0.323, 237.656, 0.001
535, 0.330, 237.744, -0.061
540, 0.336, 237.656, 0.013
545, 0.342, 237.656, 0.010
550, 0.348, 237.656, 0.008
555, 0.355, 237.656, 0.006
560, 0.361, 237.656, 0.005
565, 0.368, 237.656, 0.004
570, 0.374, 237.656, 0.003
575, 0.381, 237.744, -0.059
