Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 330.205, 0.051
10, 0.000, 330.205, 0.041
15, 0.000, 330.205, 0.033
20, 0.000, 330.205, 0.026
25, 0.000, 330.205, 0.021
30, 0.001, 330.205, 0.017
35, 0.001, 330.205, 0.013
40, 0.001, 330.205, 0.011
45, 0.002, 330.205, 0.009
50, 0.002, 330.205, 0.007
55, 0.003, 330.205, 0.006
60, 0.004, 330.205, 0.004
65, 0.004, 330.117, 0.065
70, 0.005, 330.117, 0.052
75, 0.006, 330.117, 0.042
80, 0.007, 330.205, -0.028
85, 0.008, 330.117, 0.039
90, 0.009, 330.117, 0.031
95, 0.010, 330.205, -0.036
100, 0.011, 330.117, 0.032
105, 0.012, 330.205, -0.036
110, 0.013, 330.205, -0.029
115, 0.014, 330.205, -0.023
120, 0.016, 330.205, -0.018
125, 0.017, 330.117, 0.047
130, 0.018, 330.117, 0.037
135, 0.020, 330.117, 0.030
140, 0.022, 330.117, 0.024
145, 0.023, 330.117, 0.019
150, 0.025, 330.205, -0.046
155, 0.027, 330.205, -0.037
160, 0.028, 330.117, 0.032
165, 0.030, 330.117, 0.026
170, 0.032, 330.117, 0.020
175, 0.034, 330.117, 0.016
180, 0.036, 330.117, 0.013
185, 0.038, 330.205, -0.051
190, 0.040, 330.117, 0.021
195, 0.043, 330.205, -0.045
200, 0.045, 330.205, -0.036
205, 0.047, 330.117, 0.033
210, 0.050, 330.205, -0.035
215, 0.052, 330.205, -0.028
220, 0.055, 330.205, -0.023
225, 0.057, 330.205, -0.018
230, 0.060, 330.205, -0.014
235, 0.063, 330.117, 0.050
240, 0.065, 330.117, 0.040
245, 0.068, 330.205, -0.029
250, 0.071, 330.205, -0.024
255, 0.074, 330.205, -0.019
260, 0.077, 330.205, -0.015
265, 0.080, 330.205, -0.012
270, 0.083, 330.117, 0.052
275, 0.086, 330.205, -0.020
280, 0.089, 330.117, 0.045
285, 0.093, 330.205, -0.025
290, 0.096, 330.117, 0.041
295, 0.099, 330.205, -0.028
300, 0.103, 330.205, -0.023
305, 0.106, 330.117, 0.043
310, 0.110, 330.205, -0.027
315, 0.113, 330.205, -0.021
320, 0.117, 330.205, -0.017
325, 0.121, 330.029, 0.109
330, 0.125, 330.205, -0.035
335, 0.129, 330.117, 0.033
340, 0.132, 330.205, -0.035
345, 0.136, 330.205, -0.028
350, 0.140, 330.205, -0.022
355, 0.144, 330.205, -0.018
360, 0.149, 330.205, -0.014
365, 0.153, 330.205, -0.011
370, 0.157, 330.205, -0.009
375, 0.161, 330.117, 0.054
380, 0.166, 330.117, 0.043
385, 0.170, 330.205, -0.027
390, 0.175, 330.117, 0.040
395, 0.179, 330.205, -0.029
400, 0.184, 330.205, -0.024
405, 0.189, 330.205, -0.019
410, 0.193, 330.205, -0.015
415, 0.198, 330.205, -0.012
420, 0.203, 330.205, -0.010
425, 0.208, 330.117, 0.054
430, 0.213, 330.205, -0.018
435, 0.218, 330.117, 0.047
440, 0.223, 330.205, -0.024
445, 0.228, 330.117, 0.042
450, 0.233, 330.205, -0.028
455, 0.238, 330.117, 0.039
460, 0.244, 330.117, 0.031
465, 0.249, 330.117, 0.025
470, 0.254, 330.205, -0.041
475, 0.260, 330.205, -0.033
480, 0.265, 330.205, -0.026
485, 0.271, 330.117, 0.040
490, 0.276, 330.205, -0.029
495, 0.282, 330.205, -0.023
500, 0.288, 330.205, -0.019
505, 0.294, 330.205, -0.015
510, 0.300, 330.205, -0.012
515, 0.305, 330.205, -0.010
520, 0.311, 330.293, -0.069
525, 0.317, 330.205, 0.006
530, 0.323, 330.117, 0.066
535, 0.330, 330.205, -0.009
540, 0.336, 330.117, 0.055
545, 0.342, 330.205, -0.018
550, 0.348, 330.205, -0.014
555, 0.355, 330.205, -0.011
560, 0.361, 330.117, 0.052
565, 0.368, 330.117, 0.042
570, 0.374, 330.117, 0.033
575, 0.381, 330.117, 0.027
580, 0.387, 330.205, -0.040
585, 0.394, 330.117, 0.029
590, 0.401, 330.117, 0.024
595, 0.408, 330.205, -0.043
600, 0.414, 330.117, 0.027
605, 0.421, 330.117, 0.022
610, 0.428, 330.117, 0.017
615, 0.435, 330.205, -0.047
620, 0.442, 330.117, 0.023
625, 0.450, 330.117, 0.019
630, 0.457, 330.205, -0.046
635, 0.464, 330.205, -0.037
640, 0.471, 330.205, -0.030
645, 0.479, 330.117, 0.038
650, 0.486, 330.205, -0.031
655, 0.493, 330.205, -0.025
660, 0.501, 330.117, 0.041
665, 0.509, 330.117, 0.033
670, 0.516, 330.205, -0.035
675, 0.524, 330.117, 0.033
680, 0.532, 330.205, -0.035
685, 0.539, 330.205, -0.028
690, 0.547, 330.205, -0.022
