Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 259.717, 0.284
10, 0.000, 259.805, 0.166
15, 0.000, 259.717, 0.194
20, 0.000, 259.717, 0.156
25, 0.000, 259.717, 0.125
30, 0.001, 259.805, 0.038
35, 0.001, 259.717, 0.092
40, 0.001, 259.717, 0.074
45, 0.002, 259.717, 0.059
50, 0.002, 259.717, 0.047
55, 0.003, 259.717, 0.038
60, 0.004, 259.717, 0.030
65, 0.004, 259.717, 0.024
70, 0.005, 259.717, 0.019
75, 0.006, 259.717, 0.015
80, 0.007, 259.717, 0.012
85, 0.008, 259.717, 0.010
90, 0.009, 259.629, 0.069
95, 0.010, 259.629, 0.055
100, 0.011, 259.717, -0.017
105, 0.012, 259.717, -0.014
110, 0.013, 259.717, -0.011
115, 0.014, 259.717, -0.009
120, 0.016, 259.717, -0.007
125, 0.017, 259.717, -0.006
130, 0.018, 259.717, -0.004
135, 0.020, 259.717, -0.004
140, 0.022, 259.717, -0.003
145, 0.023, 259.717, -0.002
150, 0.025, 259.629, 0.060
155, 0.027, 259.717, -0.014
160, 0.028, 259.717, -0.011
165, 0.030, 259.805, -0.070
170, 0.032, 259.717, 0.005
175, 0.034, 259.717, 0.004
180, 0.036, 259.717, 0.003
185, 0.038, 259.629, 0.064
190, 0.040, 259.717, -0.010
195, 0.043, 259.717, -0.008
200, 0.045, 259.717, -0.006
205, 0.047, 259.717, -0.005
210, 0.050, 259.717, -0.004
215, 0.052, 259.805, -0.065
220, 0.055, 259.629, 0.071
225, 0.057, 259.717, -0.005
230, 0.060, 259.717, -0.004
235, 0.063, 259.805, -0.064
240, 0.065, 259.717, 0.010
245, 0.068, 259.717, 0.008
250, 0.071, 259.717, 0.006
255, 0.074, 259.717, 0.005
260, 0.077, 259.717, 0.004
265, 0.080, 259.717, 0.003
270, 0.083, 259.717, 0.003
275, 0.086, 259.717, 0.002
280, 0.089, 259.717, 0.002
285, 0.093, 259.717, 0.001
290, 0.096, 259.717, 0.001
295, 0.099, 259.717, 0.001
300, 0.103, 259.717, 0.001
305, 0.106, 259.629, 0.062
310, 0.110, 259.717, -0.012
315, 0.113, 259.717, -0.009
320, 0.117, 259.717, -0.008
325, 0.121, 259.717, -0.006
330, 0.125, 259.717, -0.005
335, 0.129, 259.629, 0.057
340, 0.132, 259.717, -0.015
345, 0.136, 259.805, -0.074
350, 0.140, 259.717, 0.002
355, 0.144, 259.629, 0.063
360, 0.149, 259.717, -0.011
365, 0.153, 259.717, -0.009
370, 0.157, 259.717, -0.007
375, 0.161, 259.629, 0.056
380, 0.166, 259.805, -0.078
385, 0.170, 259.805, -0.062
390, 0.175, 259.717, 0.011
395, 0.179, 259.717, 0.009
400, 0.184, 259.717, 0.007
405, 0.189, 259.717, 0.006
410, 0.193, 259.629, 0.066
415, 0.198, 259.717, -0.008
420, 0.203, 259.717, -0.007
425, 0.208, 259.629, 0.056
430, 0.213, 259.717, -0.017
435, 0.218, 259.717, -0.013
440, 0.223, 259.717, -0.011
445, 0.228, 259.629, 0.053
450, 0.233, 259.717, -0.019
455, 0.238, 259.717, -0.015
460, 0.244, 259.805, -0.074
465, 0.249, 259.717, 0.003
470, 0.254, 259.717, 0.002
475, 0.260, 259.717, 0.002
480, 0.265, 259.717, 0.001
485, 0.271, 259.717, 0.001
490, 0.276, 259.629, 0.062
495, 0.282, 259.717, -0.012
500, 0.288, 259.717, -0.009
505, 0.294, 259.717, -0.007
510, 0.300, 259.629, 0.055
515, 0.305, 259.717, -0.017
520, 0.311, 259.717, -0.014
525, 0.317, 259.629, 0.050
530, 0.323, 259.805, -0.082
535, 0.330, 259.717, -0.005
540, 0.336, 259.717, -0.004
545, 0.342, 259.717, -0.003
550, 0.348, 259.717, -0.002
555, 0.355, 259.717, -0.002
560, 0.361, 259.717, -0.002
565, 0.368, 259.717, -0.001
570, 0.374, 259.717, -0.001
575, 0.381, 259.717, -0.001
580, 0.387, 259.717, -0.001
585, 0.394, 259.717, -0.000
590, 0.401, 259.805, -0.062
595, 0.408, 259.717, 0.012
600, 0.414, 259.629, 0.071
605, 0.421, 259.629, 0.057
610, 0.428, 259.717, -0.016
615, 0.435, 259.717, -0.013
620, 0.442, 259.717, -0.010
625, 0.450, 259.717, -0.008
630, 0.457, 259.717, -0.007
635, 0.464, 259.717, -0.005
640, 0.471, 259.717, -0.004
645, 0.479, 259.717, -0.003
650, 0.486, 259.805, -0.064
655, 0.493, 259.629, 0.072
660, 0.501, 259.717, -0.004
665, 0.509, 259.717, -0.003
670, 0.516, 259.717, -0.003
675, 0.524, 259.717, -0.002
680, 0.532, 259.717, -0.002
685, 0.539, 259.717, -0.001
690, 0.547, 259.717, -0.001
695, 0.555, 259.717, -0.001
700, 0.563, 259.805, -0.062
705, 0.571, 259.805, -0.050
710, 0.579, 259.717, 0.022
715, 0.587, 259.805, -0.044
720, 0.595, 259.805, -0.035
725, 0.604, 259.717, 0.033
730, 0.612, 259.717, 0.027
735, 0.620, 259.717, 0.021
740, 0.629, 259.629, 0.078
745, 0.637, 259.717, 0.001
750, 0.645, 259.717, 0.001
755, 0.654, 259.717, 0.001
760, 0.663, 259.717, 0.001
765, 0.671, 259.629, 0.062
770, 0.680, 259.717, -0.012
775, 0.689, 259.629, 0.052
780, 0.697, 259.717, -0.020
785, 0.706, 259.717, -0.016
790, 0.715, 259.717, -0.013
795, 0.724, 259.717, -0.010
800, 0.733, 259.717, -0.008
805, 0.742, 259.717, -0.007
810, 0.751, 259.717, -0.005
815, 0.760, 259.717, -0.004
820, 0.770, 259.717, -0.003
825, 0.779, 259.717, -0.003
830, 0.788, 259.717, -0.002
835, 0.798, 259.717, -0.002
840, 0.807, 259.629, 0.060
845, 0.816, 259.629, 0.048
850, 0.826, 259.717, -0.023
855, 0.836, 259.629, 0.043
860, 0.845, 259.805, -0.088
865, 0.855, 259.980, -0.193
870, 0.865, 260.068, -0.216
875, 0.874, 260.244, -0.296
880, 0.884, 260.420, -0.359
885, 0.894, 260.684, -0.472
890, 0.904, 260.947, -0.562
895, 0.914, 261.123, -0.572
900, 0.924, 261.387, -0.642
905, 0.934, 261.738, -0.759
910, 0.944, 262.002, -0.791
915, 0.954, 262.441, -0.940
920, 0.965, 262.705, -0.936
925, 0.975, 262.969, -0.933
