time, volt, M0Rad,M0VEL,M1VEL,M1VEL
5, 0.000, 1.890, 0.000, 6.276, -0.014
10, 0.038, 1.890, 0.000, 6.276, -0.013
15, 0.075, 1.890, 0.000, 6.276, -0.012
20, 0.113, 1.890, 0.000, 6.276, -0.011
25, 0.151, 1.890, 0.000, 6.276, -0.010
30, 0.188, 1.890, 0.000, 6.274, 0.019
35, 0.226, 1.890, 0.000, 6.276, -0.011
40, 0.264, 1.890, 0.000, 6.276, -0.010
45, 0.302, 1.890, 0.000, 6.276, -0.009
50, 0.339, 1.890, 0.000, 6.274, 0.020
55, 0.377, 1.890, 0.000, 6.276, -0.010
60, 0.415, 1.890, 0.000, 6.276, -0.009
65, 0.452, 1.890, 0.000, 6.276, -0.008
70, 0.490, 1.890, 0.000, 6.276, -0.007
75, 0.528, 1.890, 0.000, 6.276, -0.007
80, 0.565, 1.890, 0.000, 6.276, -0.006
85, 0.603, 1.890, 0.000, 6.276, -0.006
90, 0.641, 1.890, 0.000, 6.276, -0.005
95, 0.678, 1.890, 0.000, 6.276, -0.005
100, 0.716, 1.890, 0.000, 6.276, -0.004
105, 0.753, 1.890, 0.000, 6.274, 0.024
110, 0.791, 1.890, 0.000, 6.276, -0.006
115, 0.829, 1.890, 0.000, 6.276, -0.005
120, 0.866, 1.890, 0.000, 6.276, -0.005
125, 0.904, 1.890, 0.000, 6.276, -0.004
130, 0.942, 1.892, -0.028, 6.274, 0.024
135, 0.979, 1.892, -0.025, 6.276, -0.006
140, 1.017, 1.890, 0.005, 6.276, -0.006
145, 1.054, 1.890, 0.004, 6.276, -0.005
150, 1.092, 1.890, 0.004, 6.277, -0.033
155, 1.129, 1.890, 0.004, 6.279, -0.058
160, 1.167, 1.890, 0.003, 6.282, -0.108
165, 1.204, 1.892, -0.025, 0.002, -0.154
170, 1.242, 1.892, -0.023, 0.006, -0.224
175, 1.279, 1.892, -0.021, 0.011, -0.287
180, 1.317, 1.892, -0.019, 0.017, -0.373
185, 1.354, 1.893, -0.045, 0.021, -0.422
190, 1.392, 1.896, -0.097, 0.028, -0.496
195, 1.429, 1.900, -0.144, 0.032, -0.534
200, 1.467, 1.903, -0.186, 0.038, -0.598
205, 1.504, 1.907, -0.253, 0.046, -0.683
210, 1.541, 1.910, -0.286, 0.052, -0.732
215, 1.579, 1.915, -0.344, 0.060, -0.805
220, 1.616, 1.919, -0.396, 0.068, -0.872
225, 1.653, 1.924, -0.444, 0.077, -0.960
230, 1.691, 1.930, -0.515, 0.084, -1.012
235, 1.728, 1.936, -0.580, 0.094, -1.087
240, 1.765, 1.942, -0.639, 0.103, -1.156
245, 1.803, 1.950, -0.720, 0.112, -1.218
250, 1.840, 1.956, -0.767, 0.123, -1.303
255, 1.877, 1.964, -0.836, 0.132, -1.352
260, 1.914, 1.972, -0.900, 0.143, -1.424
265, 1.952, 1.981, -0.986, 0.153, -1.490
270, 1.989, 1.989, -1.036, 0.164, -1.550
275, 2.026, 1.998, -1.109, 0.175, -1.604
280, 2.063, 2.007, -1.176, 0.186, -1.654
285, 2.100, 2.016, -1.236, 0.198, -1.727
290, 2.137, 2.025, -1.291, 0.209, -1.765
295, 2.174, 2.036, -1.369, 0.221, -1.828
300, 2.212, 2.047, -1.440, 0.235, -1.913
305, 2.249, 2.058, -1.504, 0.249, -1.990
310, 2.286, 2.070, -1.591, 0.262, -2.060
315, 2.323, 2.081, -1.642, 0.276, -2.124
320, 2.360, 2.091, -1.688, 0.290, -2.182
325, 2.397, 2.104, -1.758, 0.304, -2.235
330, 2.433, 2.116, -1.821, 0.319, -2.311
335, 2.470, 2.128, -1.879, 0.334, -2.379
340, 2.507, 2.143, -1.987, 0.350, -2.443
345, 2.544, 2.156, -2.030, 0.364, -2.472
350, 2.581, 2.170, -2.097, 0.379, -2.526
355, 2.618, 2.183, -2.157, 0.396, -2.603
360, 2.654, 2.199, -2.240, 0.414, -2.701
365, 2.691, 2.214, -2.316, 0.431, -2.763
370, 2.728, 2.229, -2.384, 0.448, -2.819
375, 2.765, 2.245, -2.447, 0.465, -2.869
380, 2.801, 2.260, -2.504, 0.482, -2.915
385, 2.838, 2.279, -2.611, 0.500, -2.986
390, 2.875, 2.297, -2.709, 0.519, -3.049
395, 2.911, 2.315, -2.798, 0.537, -3.106
400, 2.948, 2.331, -2.822, 0.557, -3.187
405, 2.984, 2.348, -2.873, 0.577, -3.260
410, 3.021, 2.364, -2.919, 0.597, -3.327
415, 3.057, 2.383, -2.989, 0.617, -3.387
420, 3.094, 2.400, -3.024, 0.637, -3.442
425, 3.130, 2.420, -3.112, 0.658, -3.520
430, 3.166, 2.437, -3.136, 0.678, -3.562
435, 3.203, 2.455, -3.186, 0.700, -3.630
440, 3.239, 2.473, -3.231, 0.721, -3.690
445, 3.275, 2.490, -3.245, 0.743, -3.745
450, 3.312, 2.507, -3.257, 0.766, -3.823
455, 3.348, 2.529, -3.351, 0.789, -3.894
460, 3.384, 2.549, -3.410, 0.812, -3.959
465, 3.420, 2.569, -3.463, 0.835, -4.018
470, 3.456, 2.588, -3.511, 0.858, -4.071
475, 3.492, 2.610, -3.583, 0.882, -4.147
480, 3.528, 2.630, -3.620, 0.907, -4.217
485, 3.564, 2.651, -3.681, 0.931, -4.280
490, 3.600, 2.674, -3.766, 0.957, -4.365
495, 3.636, 2.696, -3.814, 0.982, -4.415
500, 3.672, 2.720, -3.914, 1.007, -4.460
505, 3.708, 2.742, -3.949, 1.033, -4.529
510, 3.744, 2.765, -4.009, 1.059, -4.591
515, 3.780, 2.788, -4.063, 1.086, -4.676
520, 3.816, 2.812, -4.140, 1.112, -4.726
525, 3.851, 2.837, -4.210, 1.138, -4.770
530, 3.887, 2.862, -4.274, 1.166, -4.839
535, 3.923, 2.886, -4.332, 1.194, -4.902
540, 3.958, 2.911, -4.385, 1.221, -4.958
545, 3.994, 2.937, -4.461, 1.249, -5.010
550, 4.029, 2.963, -4.530, 1.278, -5.084
555, 4.065, 2.989, -4.593, 1.306, -5.124
560, 4.100, 3.017, -4.678, 1.333, -5.161
565, 4.136, 3.043, -4.727, 1.363, -5.221
570, 4.171, 3.073, -4.856, 1.393, -5.305
575, 4.206, 3.102, -4.945, 1.422, -5.354
580, 4.242, 3.130, -4.997, 1.452, -5.397
585, 4.277, 3.159, -5.073, 1.482, -5.465
590, 4.312, 3.187, -5.115, 1.513, -5.526
595, 4.347, 3.214, -5.151, 1.544, -5.581
600, 4.382, 3.242, -5.186, 1.576, -5.660
605, 4.417, 3.270, -5.217, 1.606, -5.703
610, 4.453, 3.299, -5.273, 1.639, -5.771
615, 4.488, 3.328, -5.324, 1.668, -5.777
620, 4.522, 3.357, -5.370, 1.700, -5.836
625, 4.557, 3.386, -5.413, 1.732, -5.893
630, 4.592, 3.417, -5.478, 1.765, -5.943
635, 4.627, 3.446, -5.511, 1.795, -5.960
640, 4.662, 3.475, -5.541, 1.827, -6.006
645, 4.696, 3.506, -5.595, 1.861, -6.074
650, 4.731, 3.535, -5.617, 1.896, -6.164
655, 4.766, 3.564, -5.637, 1.930, -6.218
660, 4.800, 3.595, -5.683, 1.962, -6.238
665, 4.835, 3.630, -5.808, 1.995, -6.257
670, 4.869, 3.663, -5.866, 2.028, -6.302
675, 4.904, 3.698, -5.975, 2.064, -6.371
680, 4.938, 3.728, -5.990, 2.099, -6.434
685, 4.973, 3.762, -6.059, 2.133, -6.462
690, 5.007, 3.798, -6.151, 2.168, -6.517
695, 5.041, 3.833, -6.234, 2.205, -6.594
700, 5.075, 3.865, -6.253, 2.240, -6.637
705, 5.109, 3.900, -6.327, 2.277, -6.704
710, 5.143, 3.934, -6.366, 2.312, -6.735
715, 5.177, 3.971, -6.458, 2.349, -6.794
720, 5.211, 4.008, -6.541, 2.389, -6.901
725, 5.245, 4.043, -6.588, 2.426, -6.944
730, 5.279, 4.078, -6.630, 2.463, -6.982
735, 5.313, 4.117, -6.726, 2.501, -7.045
740, 5.347, 4.155, -6.812, 2.542, -7.158
745, 5.381, 4.192, -6.863, 2.581, -7.205
750, 5.414, 4.230, -6.937, 2.618, -7.220
755, 5.448, 4.269, -7.004, 2.658, -7.289
760, 5.481, 4.308, -7.093, 2.694, -7.296
765, 5.515, 4.347, -7.146, 2.737, -7.413
770, 5.548, 4.387, -7.223, 2.776, -7.438
775, 5.582, 4.427, -7.292, 2.817, -7.515
780, 5.615, 4.467, -7.355, 2.860, -7.614
785, 5.648, 4.505, -7.384, 2.903, -7.703
790, 5.682, 4.546, -7.467, 2.949, -7.840
795, 5.715, 4.588, -7.541, 2.995, -7.964
800, 5.748, 4.632, -7.665, 3.043, -8.105
805, 5.781, 4.677, -7.778, 3.090, -8.233
810, 5.814, 4.720, -7.851, 3.135, -8.293
815, 5.847, 4.764, -7.948, 3.178, -8.322
820, 5.880, 4.807, -8.007, 3.221, -8.346
825, 5.913, 4.849, -8.032, 3.264, -8.369
830, 5.945, 4.888, -8.029, 3.305, -8.362
835, 5.978, 4.928, -8.025, 3.348, -8.384
840, 6.011, 4.967, -7.992, 3.391, -8.402
845, 6.043, 5.004, -7.936, 3.432, -8.392
850, 6.076, 5.046, -7.996, 3.472, -8.355
855, 6.108, 5.089, -8.051, 3.514, -8.348
860, 6.141, 5.134, -8.128, 3.554, -8.315
865, 6.173, 5.178, -8.200, 3.600, -8.395
870, 6.206, 5.221, -8.238, 3.644, -8.443
875, 6.238, 5.263, -8.243, 3.692, -8.541
880, 6.270, 5.310, -8.358, 3.738, -8.601
885, 6.302, 5.356, -8.435, 3.785, -8.685
890, 6.334, 5.401, -8.478, 3.833, -8.761
895, 6.366, 5.444, -8.489, 3.880, -8.829
900, 6.398, 5.490, -8.555, 3.929, -8.920
905, 6.430, 5.534, -8.586, 3.976, -8.946
910, 6.462, 5.582, -8.672, 4.026, -9.054
915, 6.493, 5.628, -8.720, 4.077, -9.149
920, 6.525, 5.676, -8.793, 4.124, -9.185
925, 6.557, 5.723, -8.859, 4.175, -9.271
930, 6.588, 5.771, -8.919, 4.224, -9.321
935, 6.620, 5.818, -8.973, 4.275, -9.395
940, 6.651, 5.867, -9.051, 4.325, -9.461
945, 6.683, 5.915, -9.093, 4.378, -9.550
950, 6.714, 5.964, -9.160, 4.430, -9.631
955, 6.745, 6.015, -9.249, 4.479, -9.648
960, 6.776, 6.062, -9.273, 4.532, -9.747
965, 6.807, 6.113, -9.352, 4.585, -9.811
970, 6.838, 6.165, -9.450, 4.635, -9.839
975, 6.869, 6.217, -9.541, 4.689, -9.923
980, 6.900, 6.272, -9.679, 4.741, -9.970
985, 6.931, 0.043, -9.775, 4.795, -10.039
990, 6.962, 0.098, -9.892, 4.850, -10.132
995, 6.992, 0.152, -9.970, 4.902, -10.159
1000, 7.023, 0.204, -10.013, 4.953, -10.156
1005, 7.053, 0.259, -10.107, 5.002, -10.126
1010, 7.084, 0.321, -10.304, 5.054, -10.154
1015, 7.114, 0.374, -10.346, 5.108, -10.209
1020, 7.145, 0.428, -10.382, 5.162, -10.257
1025, 7.175, 0.485, -10.471, 5.215, -10.301
1030, 7.205, 0.539, -10.495, 5.267, -10.313
1035, 7.235, 0.591, -10.491, 5.323, -10.380
1040, 7.265, 0.644, -10.514, 5.376, -10.413
1045, 7.295, 0.695, -10.480, 5.432, -10.471
1050, 7.325, 0.746, -10.448, 5.487, -10.524
1055, 7.355, 0.796, -10.417, 5.542, -10.569
1060, 7.385, 0.844, -10.337, 5.599, -10.642
1065, 7.414, 0.891, -10.263, 5.656, -10.709
1070, 7.444, 0.945, -10.305, 5.711, -10.737
1075, 7.473, 1.005, -10.459, 5.766, -10.768
1080, 7.503, 1.062, -10.541, 5.824, -10.850
1085, 7.532, 1.122, -10.672, 5.884, -10.952
1090, 7.562, 1.178, -10.735, 5.941, -10.989
1095, 7.591, 1.235, -10.791, 5.998, -11.022
1100, 7.620, 1.293, -10.871, 6.059, -11.136
1105, 7.649, 1.350, -10.914, 6.125, -11.322
1110, 7.678, 1.410, -11.012, 6.193, -11.524
1115, 7.707, 1.470, -11.100, 6.259, -11.676
1120, 7.736, 1.531, -11.207, 0.035, -11.701
1125, 7.765, 1.591, -11.277, 0.097, -11.755
1130, 7.793, 1.654, -11.397, 0.160, -11.831
1135, 7.822, 1.711, -11.394, 0.221, -11.872
1140, 7.851, 1.766, -11.363, 0.282, -11.909
1145, 7.879, 1.820, -11.306, 0.342, -11.912
1150, 7.907, 1.873, -11.256, 0.399, -11.865
1155, 7.936, 1.930, -11.265, 0.459, -11.877
1160, 7.964, 1.990, -11.330, 0.517, -11.858
1165, 7.992, 2.050, -11.388, 0.572, -11.784
1170, 8.020, 2.108, -11.414, 0.631, -11.773
1175, 8.048, 2.170, -11.493, 0.687, -11.736
1180, 8.076, 2.228, -11.509, 0.746, -11.730
1185, 8.104, 2.292, -11.635, 0.807, -11.779
1190, 8.132, 2.354, -11.694, 0.872, -11.881
1195, 8.159, 2.420, -11.832, 0.937, -12.001
1200, 8.187, 2.483, -11.901, 1.000, -12.054
1205, 8.215, 2.550, -12.047, 1.066, -12.158
1210, 8.242, 2.613, -12.096, 1.132, -12.253
1215, 8.269, 2.674, -12.114, 1.198, -12.339
1220, 8.297, 2.736, -12.129, 1.261, -12.361
1225, 8.324, 2.796, -12.115, 1.324, -12.382
1230, 8.351, 2.852, -12.046, 1.390, -12.456
1235, 8.378, 2.914, -12.067, 1.455, -12.495
1240, 8.405, 2.969, -11.975, 1.521, -12.560
1245, 8.432, 3.024, -11.891, 1.585, -12.590
1250, 8.459, 3.084, -11.899, 1.651, -12.645
1255, 8.485, 3.152, -12.046, 1.717, -12.696
1260, 8.512, 3.218, -12.151, 1.781, -12.713
1265, 8.538, 3.291, -12.385, 1.846, -12.729
1270, 8.565, 3.360, -12.516, 1.910, -12.745
1275, 8.591, 3.431, -12.663, 1.976, -12.786
1280, 8.618, 3.500, -12.767, 2.041, -12.796
1285, 8.644, 3.558, -12.667, 2.105, -12.805
1290, 8.670, 3.613, -12.520, 2.173, -12.868
1295, 8.696, 3.669, -12.386, 2.239, -12.897
1300, 8.722, 3.722, -12.240, 2.308, -12.983
1305, 8.748, 3.782, -12.216, 2.374, -13.003
1310, 8.773, 3.853, -12.386, 2.441, -13.045
1315, 8.799, 3.922, -12.519, 2.507, -13.062
1320, 8.825, 3.994, -12.692, 2.575, -13.102
1325, 8.850, 4.066, -12.851, 2.644, -13.166
1330, 8.876, 4.134, -12.911, 2.710, -13.169
1335, 8.901, 4.201, -12.965, 2.780, -13.256
1340, 8.926, 4.269, -13.015, 2.855, -13.419
1345, 8.951, 4.336, -13.060, 2.924, -13.451
1350, 8.976, 4.401, -13.049, 2.995, -13.516
1355, 9.001, 4.467, -13.062, 3.066, -13.570
1360, 9.026, 4.534, -13.103, 3.138, -13.646
1365, 9.051, 4.605, -13.196, 3.214, -13.803
1370, 9.076, 4.683, -13.421, 3.293, -13.972
1375, 9.100, 4.758, -13.568, 3.368, -14.070
1380, 9.125, 4.836, -13.757, 3.443, -14.157
1385, 9.149, 4.911, -13.875, 3.517, -14.208
1390, 9.174, 4.984, -13.927, 3.586, -14.174
1395, 9.198, 5.057, -14.000, 3.659, -14.226
1400, 9.222, 5.126, -13.983, 3.732, -14.244
1405, 9.246, 5.194, -13.940, 3.804, -14.260
1410, 9.270, 5.258, -13.846, 3.877, -14.304
1415, 9.294, 5.321, -13.732, 3.948, -14.287
1420, 9.318, 5.384, -13.628, 4.018, -14.272
1425, 9.342, 5.447, -13.534, 4.089, -14.259
1430, 9.365, 5.516, -13.560, 4.160, -14.247
1435, 9.389, 5.590, -13.667, 4.229, -14.207
1440, 9.412, 5.665, -13.793, 4.296, -14.143
1445, 9.435, 5.735, -13.823, 4.370, -14.196
1450, 9.459, 5.808, -13.879, 4.443, -14.246
1455, 9.482, 5.883, -13.985, 4.520, -14.347
1460, 9.505, 5.956, -14.053, 4.595, -14.409
1465, 9.528, 6.027, -14.060, 4.671, -14.467
1470, 9.551, 6.101, -14.123, 4.746, -14.520
1475, 9.574, 6.176, -14.206, 4.821, -14.566
1480, 9.596, 6.256, -14.366, 4.896, -14.610
1485, 9.619, 0.054, -14.539, 4.970, -14.621
1490, 9.641, 0.133, -14.669, 5.043, -14.631
1495, 9.664, 0.215, -14.816, 5.117, -14.642
1500, 9.686, 0.296, -14.947, 5.192, -14.677
1505, 9.708, 0.373, -14.984, 5.267, -14.708
1510, 9.730, 0.448, -14.992, 5.341, -14.714
1515, 9.752, 0.528, -15.078, 5.418, -14.769
1520, 9.774, 0.606, -15.133, 5.495, -14.823
1525, 9.796, 0.680, -15.096, 5.573, -14.899
1530, 9.818, 0.756, -15.121, 5.649, -14.941
1535, 9.839, 0.830, -15.083, 5.726, -14.975
1540, 9.861, 0.902, -15.025, 5.800, -14.953
1545, 9.882, 0.977, -15.027, 5.877, -14.991
1550, 9.904, 1.048, -14.943, 5.955, -15.049
1555, 9.925, 1.117, -14.843, 6.032, -15.078
1560, 9.946, 1.192, -14.862, 6.110, -15.132
1565, 9.967, 1.274, -14.988, 6.190, -15.205
1570, 9.988, 1.352, -15.052, 6.271, -15.304
1575, 10.009, 1.435, -15.191, 0.068, -15.363
1580, 10.030, 1.516, -15.290, 0.155, -15.558
1585, 10.050, 1.596, -15.349, 0.244, -15.759
1590, 10.071, 1.677, -15.435, 0.330, -15.892
1595, 10.091, 1.754, -15.428, 0.411, -15.927
1600, 10.112, 1.832, -15.449, 0.491, -15.928
1605, 10.132, 1.909, -15.440, 0.572, -15.961
1610, 10.152, 1.979, -15.320, 0.652, -15.960
1615, 10.172, 2.055, -15.295, 0.732, -15.961
1620, 10.192, 2.133, -15.330, 0.810, -15.935
1625, 10.212, 2.211, -15.361, 0.885, -15.855
1630, 10.232, 2.294, -15.472, 0.961, -15.778
1635, 10.251, 2.374, -15.516, 1.034, -15.686
1640, 10.271, 2.464, -15.753, 1.109, -15.628
1645, 10.290, 2.555, -15.967, 1.189, -15.658
1650, 10.310, 2.636, -15.996, 1.272, -15.741
1655, 10.329, 2.713, -15.938, 1.353, -15.790
1660, 10.348, 2.789, -15.883, 1.433, -15.803
1665, 10.367, 2.862, -15.753, 1.516, -15.875
1670, 10.386, 2.934, -15.632, 1.599, -15.938
1675, 10.405, 3.007, -15.552, 1.680, -15.969
1680, 10.424, 3.078, -15.422, 1.760, -15.968
1685, 10.442, 3.158, -15.472, 1.840, -15.967
1690, 10.461, 3.245, -15.657, 1.919, -15.967
1695, 10.479, 3.334, -15.852, 2.001, -15.994
1700, 10.497, 3.423, -16.030, 2.081, -15.991
1705, 10.516, 3.512, -16.193, 2.162, -16.018
1710, 10.534, 3.586, -16.061, 2.242, -16.013
1715, 10.552, 3.653, -15.828, 2.323, -16.035
1720, 10.570, 3.721, -15.619, 2.404, -16.058
1725, 10.587, 3.793, -15.511, 2.489, -16.132
1730, 10.605, 3.873, -15.553, 2.569, -16.117
1735, 10.623, 3.962, -15.757, 2.653, -16.186
1740, 10.640, 4.048, -15.887, 2.737, -16.248
1745, 10.658, 4.134, -16.007, 2.820, -16.280
1750, 10.675, 4.221, -16.143, 2.903, -16.307
1755, 10.692, 4.305, -16.210, 2.986, -16.331
1760, 10.709, 4.388, -16.244, 3.073, -16.438
1765, 10.726, 4.471, -16.275, 3.156, -16.450
1770, 10.743, 4.551, -16.246, 3.245, -16.572
1775, 10.760, 4.634, -16.275, 3.342, -16.822
1780, 10.776, 4.724, -16.445, 3.428, -16.859
1785, 10.793, 4.813, -16.569, 3.514, -16.889
1790, 10.809, 4.905, -16.736, 3.603, -16.969
1795, 10.826, 4.994, -16.835, 3.689, -16.991
1800, 10.842, 5.082, -16.895, 3.776, -17.038
1805, 10.858, 5.169, -16.949, 3.862, -17.049
1810, 10.874, 5.252, -16.918, 3.949, -17.092
1815, 10.890, 5.332, -16.831, 4.037, -17.129
1820, 10.906, 5.416, -16.836, 4.124, -17.163
1825, 10.921, 5.495, -16.728, 4.210, -17.164
1830, 10.937, 5.571, -16.605, 4.295, -17.140
1835, 10.952, 5.648, -16.490, 4.379, -17.116
1840, 10.968, 5.729, -16.471, 4.465, -17.120
1845, 10.983, 5.815, -16.537, 4.546, -17.047
1850, 10.998, 5.909, -16.735, 4.626, -16.946
1855, 11.013, 5.999, -16.862, 4.712, -16.970
1860, 11.028, 6.087, -16.920, 4.799, -17.018
1865, 11.043, 6.179, -17.057, 4.887, -17.061
1870, 11.057, 6.269, -17.155, 4.973, -17.075
1875, 11.072, 0.072, -17.156, 5.060, -17.112
1880, 11.087, 0.160, -17.190, 5.145, -17.094
1885, 11.101, 0.245, -17.190, 5.231, -17.102
1890, 11.115, 0.328, -17.135, 5.320, -17.164
1895, 11.129, 0.414, -17.141, 5.409, -17.223
1900, 11.143, 0.497, -17.089, 5.499, -17.303
1905, 11.157, 0.588, -17.183, 5.584, -17.265
1910, 11.171, 0.684, -17.380, 5.671, -17.286
1915, 11.185, 0.781, -17.559, 5.758, -17.307
1920, 11.198, 0.875, -17.665, 5.844, -17.295
1925, 11.212, 0.968, -17.763, 5.932, -17.314
1930, 11.225, 1.060, -17.823, 6.022, -17.386
1935, 11.239, 1.151, -17.849, 6.114, -17.480
1940, 11.252, 1.241, -17.874, 6.202, -17.482
1945, 11.265, 1.326, -17.783, 0.009, -17.538
1950, 11.278, 1.407, -17.645, 0.101, -17.618
1955, 11.291, 1.499, -17.719, 0.207, -17.943
1960, 11.303, 1.597, -17.892, 0.307, -18.124
1965, 11.316, 1.695, -18.053, 0.402, -18.207
1970, 11.328, 1.798, -18.283, 0.493, -18.201
1975, 11.341, 1.889, -18.268, 0.583, -18.192
1980, 11.353, 1.979, -18.254, 0.675, -18.212
1985, 11.365, 2.068, -18.214, 0.766, -18.204
1990, 11.377, 2.153, -18.094, 0.856, -18.195
1995, 11.389, 2.231, -17.873, 0.942, -18.104
2000, 11.401, 2.308, -17.642, 1.023, -17.935
2005, 11.413, 2.395, -17.631, 1.111, -17.898
2010, 11.424, 2.490, -17.755, 1.197, -17.830
2015, 11.436, 2.588, -17.932, 1.287, -17.859
2020, 11.447, 2.687, -18.088, 1.379, -17.910
2025, 11.458, 2.780, -18.143, 1.471, -17.952
2030, 11.470, 2.868, -18.087, 1.565, -18.025
2035, 11.481, 2.949, -17.923, 1.657, -18.061
2040, 11.491, 3.032, -17.799, 1.749, -18.092
2045, 11.502, 3.112, -17.635, 1.841, -18.124
2050, 11.513, 3.196, -17.568, 1.929, -18.068
2055, 11.524, 3.288, -17.645, 2.018, -18.043
2060, 11.534, 3.380, -17.714, 2.107, -18.019
2065, 11.544, 3.475, -17.836, 2.200, -18.085
2070, 11.555, 3.581, -18.141, 2.297, -18.199
2075, 11.565, 3.676, -18.222, 2.389, -18.218
2080, 11.575, 3.762, -18.129, 2.483, -18.266
2085, 11.585, 3.851, -18.101, 2.575, -18.281
2090, 11.594, 3.936, -17.989, 2.667, -18.289
2095, 11.604, 4.020, -17.891, 2.757, -18.278
2100, 11.614, 4.107, -17.856, 2.843, -18.179
2105, 11.623, 4.189, -17.712, 2.934, -18.172
2110, 11.632, 4.278, -17.719, 3.032, -18.303
2115, 11.642, 4.373, -17.842, 3.130, -18.430
2120, 11.651, 4.468, -17.950, 3.224, -18.456
2125, 11.660, 4.566, -18.104, 3.323, -18.591
2130, 11.668, 4.664, -18.245, 3.435, -18.939
2135, 11.677, 4.757, -18.261, 3.532, -18.974
2140, 11.686, 4.850, -18.303, 3.624, -18.923
2145, 11.694, 4.944, -18.343, 3.718, -18.906
2150, 11.703, 5.036, -18.349, 3.810, -18.860
2155, 11.711, 5.122, -18.245, 3.905, -18.876
2160, 11.719, 5.211, -18.206, 4.000, -18.891
2165, 11.727, 5.300, -18.171, 4.095, -18.905
2170, 11.735, 5.395, -18.249, 4.189, -18.887
2175, 11.743, 5.491, -18.350, 4.285, -18.929
2180, 11.751, 5.585, -18.384, 4.381, -18.937
2185, 11.758, 5.677, -18.389, 4.473, -18.893
2190, 11.766, 5.769, -18.391, 4.565, -18.847
2195, 11.773, 5.860, -18.367, 4.648, -18.643
2200, 11.780, 5.952, -18.372, 4.738, -18.594
2205, 11.787, 6.048, -18.461, 4.830, -18.578
2210, 11.794, 6.142, -18.485, 4.924, -18.592
2215, 11.801, 6.242, -18.617, 5.017, -18.602
2220, 11.808, 0.057, -18.712, 5.108, -18.557
2225, 11.815, 0.153, -18.770, 5.201, -18.573
2230, 11.821, 0.250, -18.823, 5.297, -18.616
2235, 11.828, 0.350, -18.925, 5.393, -18.680
2240, 11.834, 0.445, -18.935, 5.491, -18.767
2245, 11.840, 0.542, -18.973, 5.585, -18.764
2250, 11.846, 0.646, -19.144, 5.679, -18.758
2255, 11.852, 0.752, -19.333, 5.775, -18.814
2260, 11.858, 0.852, -19.389, 5.870, -18.832
2265, 11.864, 0.950, -19.414, 5.961, -18.768
2270, 11.869, 1.039, -19.269, 6.053, -18.737
2275, 11.875, 1.129, -19.164, 6.147, -18.735
2280, 11.880, 1.217, -19.012, 6.242, -18.761
2285, 11.886, 1.303, -18.849, 0.063, -18.955
2290, 11.891, 1.393, -18.783, 0.169, -19.157
2295, 11.896, 1.498, -18.970, 0.273, -19.310
2300, 11.901, 1.605, -19.202, 0.376, -19.427
2305, 11.905, 1.709, -19.354, 0.473, -19.414
2310, 11.910, 1.815, -19.522, 0.569, -19.414
2315, 11.915, 1.910, -19.479, 0.664, -19.379
2320, 11.919, 2.002, -19.383, 0.758, -19.320
2325, 11.923, 2.096, -19.324, 0.856, -19.350
2330, 11.928, 2.183, -19.156, 0.948, -19.259
2335, 11.932, 2.263, -18.868, 1.042, -19.216
2340, 11.936, 2.352, -18.772, 1.134, -19.142
2345, 11.939, 2.446, -18.769, 1.226, -19.078
2350, 11.943, 2.549, -18.932, 1.318, -19.018
2355, 11.947, 2.653, -19.109, 1.410, -18.964
2360, 11.950, 2.754, -19.217, 1.507, -19.001
2365, 11.954, 2.851, -19.225, 1.603, -19.028
2370, 11.957, 2.940, -19.099, 1.697, -19.002
2375, 11.960, 3.029, -18.981, 1.794, -19.032
2380, 11.963, 3.118, -18.876, 1.889, -19.033
2385, 11.966, 3.202, -18.695, 1.981, -18.976
2390, 11.969, 3.290, -18.587, 2.073, -18.926
2395, 11.971, 3.385, -18.627, 2.168, -18.935
2400, 11.974, 3.491, -18.861, 2.266, -19.001
2405, 11.976, 3.600, -19.128, 2.366, -19.087
2410, 11.979, 3.701, -19.232, 2.463, -19.110
2415, 11.981, 3.793, -19.159, 2.558, -19.104
2420, 11.983, 3.879, -18.980, 2.656, -19.152
2425, 11.985, 3.965, -18.818, 2.751, -19.142
2430, 11.987, 4.051, -18.670, 2.840, -19.020
2435, 11.988, 4.137, -18.538, 2.937, -19.051
2440, 11.990, 4.232, -18.582, 3.033, -19.075
2445, 11.991, 4.333, -18.736, 3.136, -19.211
2450, 11.993, 4.433, -18.847, 3.234, -19.251
2455, 11.994, 4.537, -19.030, 3.342, -19.452
2460, 11.995, 4.634, -19.059, 3.454, -19.722
2465, 11.996, 4.732, -19.115, 3.547, -19.632
2470, 11.997, 4.833, -19.218, 3.644, -19.605
2475, 11.998, 4.928, -19.203, 3.742, -19.610
2480, 11.999, 5.020, -19.132, 3.839, -19.584
2485, 11.999, 5.116, -19.124, 3.936, -19.561
2490, 11.999, 5.206, -19.033, 4.032, -19.542
2495, 12.000, 5.294, -18.891, 4.130, -19.549
2500, 12.000, 5.392, -18.963, 4.229, -19.560
2505, 12.000, 5.491, -19.055, 4.327, -19.569
2510, 12.000, 5.588, -19.078, 4.427, -19.601
2515, 12.000, 5.688, -19.162, 4.522, -19.552
2520, 11.999, 5.783, -19.149, 4.618, -19.531
2525, 11.999, 5.874, -19.053, 4.710, -19.428
2530, 11.999, 5.969, -19.055, 4.796, -19.228
