Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
2, 0.000, 128.936, -0.365
4, 0.000, 128.936, -0.332
6, 0.000, 129.023, -0.372
8, 0.000, 128.936, -0.268
10, 0.000, 128.936, -0.244
12, 0.000, 128.936, -0.222
14, 0.000, 128.936, -0.202
16, 0.000, 128.936, -0.183
18, 0.000, 129.023, -0.237
20, 0.000, 128.936, -0.145
22, 0.000, 128.936, -0.132
24, 0.001, 129.023, -0.190
26, 0.001, 128.936, -0.103
28, 0.001, 129.023, -0.163
30, 0.001, 128.936, -0.079
32, 0.001, 128.936, -0.072
34, 0.001, 128.936, -0.065
36, 0.001, 129.023, -0.129
38, 0.002, 128.936, -0.048
40, 0.002, 128.936, -0.043
42, 0.002, 128.936, -0.039
44, 0.002, 128.936, -0.036
46, 0.002, 129.023, -0.102
48, 0.003, 128.936, -0.023
50, 0.003, 128.936, -0.021
52, 0.003, 128.936, -0.019
54, 0.003, 128.936, -0.017
56, 0.003, 128.936, -0.016
58, 0.004, 128.936, -0.014
60, 0.004, 129.023, -0.083
62, 0.004, 128.936, -0.006
64, 0.005, 128.936, -0.005
66, 0.005, 128.936, -0.005
68, 0.005, 128.936, -0.004
70, 0.005, 129.023, -0.074
72, 0.006, 129.023, -0.067
74, 0.006, 128.936, 0.009
76, 0.006, 128.936, 0.008
78, 0.007, 128.936, 0.007
80, 0.007, 128.936, 0.007
82, 0.008, 129.023, -0.064
84, 0.008, 128.936, 0.012
86, 0.008, 128.936, 0.011
88, 0.009, 129.023, -0.060
90, 0.009, 129.023, -0.055
92, 0.010, 128.936, 0.020
94, 0.010, 129.023, -0.051
96, 0.010, 129.023, -0.047
98, 0.011, 128.936, 0.027
100, 0.011, 129.023, -0.045
102, 0.012, 129.023, -0.041
104, 0.012, 128.936, 0.033
106, 0.013, 128.936, 0.030
108, 0.013, 129.023, -0.043
110, 0.014, 129.023, -0.039
112, 0.014, 128.936, 0.034
114, 0.015, 129.023, -0.039
116, 0.015, 128.936, 0.035
118, 0.016, 128.936, 0.032
120, 0.016, 128.936, 0.029
122, 0.017, 128.936, 0.026
124, 0.018, 128.936, 0.024
126, 0.018, 128.936, 0.022
128, 0.019, 128.936, 0.020
130, 0.019, 128.936, 0.018
132, 0.020, 128.936, 0.016
134, 0.021, 128.936, 0.015
136, 0.021, 128.936, 0.013
138, 0.022, 128.936, 0.012
140, 0.023, 129.023, -0.059
142, 0.023, 129.023, -0.053
144, 0.024, 128.936, 0.021
146, 0.025, 128.936, 0.019
148, 0.025, 128.936, 0.018
150, 0.026, 129.023, -0.054
152, 0.027, 128.936, 0.021
154, 0.027, 128.936, 0.019
156, 0.028, 129.023, -0.053
158, 0.029, 129.023, -0.048
160, 0.030, 129.023, -0.043
162, 0.030, 128.936, 0.030
164, 0.031, 128.936, 0.027
166, 0.032, 129.023, -0.045
168, 0.033, 129.023, -0.041
170, 0.033, 128.936, 0.033
172, 0.034, 129.023, -0.040
174, 0.035, 129.023, -0.036
176, 0.036, 128.936, 0.037
178, 0.037, 128.936, 0.033
180, 0.037, 128.936, 0.030
182, 0.038, 128.936, 0.028
184, 0.039, 128.936, 0.025
186, 0.040, 128.936, 0.023
188, 0.041, 128.936, 0.021
190, 0.042, 129.023, -0.051
192, 0.043, 129.023, -0.046
194, 0.044, 128.936, 0.028
196, 0.045, 129.023, -0.045
198, 0.045, 128.936, 0.029
200, 0.046, 128.936, 0.026
202, 0.047, 129.023, -0.046
204, 0.048, 128.936, 0.028
206, 0.049, 129.023, -0.044
208, 0.050, 129.023, -0.040
210, 0.051, 128.848, 0.103
212, 0.052, 128.848, 0.094
214, 0.053, 128.936, 0.015
216, 0.054, 128.936, 0.014
218, 0.055, 128.936, 0.013
220, 0.056, 128.936, 0.012
222, 0.057, 128.936, 0.010
224, 0.058, 128.936, 0.010
226, 0.059, 129.023, -0.061
228, 0.060, 128.936, 0.014
230, 0.061, 129.023, -0.057
232, 0.063, 128.936, 0.018
234, 0.064, 129.023, -0.053
236, 0.065, 129.023, -0.048
238, 0.066, 128.936, 0.026
240, 0.067, 128.936, 0.023
242, 0.068, 129.023, -0.049
244, 0.069, 129.023, -0.044
246, 0.070, 128.936, 0.030
248, 0.072, 128.936, 0.027
250, 0.073, 129.023, -0.045
252, 0.074, 128.936, 0.028
254, 0.075, 129.023, -0.044
256, 0.076, 129.023, -0.040
258, 0.077, 129.023, -0.036
260, 0.079, 129.023, -0.033
262, 0.080, 129.023, -0.030
264, 0.081, 128.936, 0.043
266, 0.082, 128.936, 0.039
268, 0.084, 129.023, -0.034
270, 0.085, 128.936, 0.039
272, 0.086, 128.936, 0.035
274, 0.087, 128.936, 0.032
276, 0.089, 129.023, -0.041
278, 0.090, 129.023, -0.037
280, 0.091, 128.936, 0.036
282, 0.093, 129.023, -0.037
284, 0.094, 128.936, 0.036
286, 0.095, 128.936, 0.033
288, 0.097, 128.936, 0.030
290, 0.098, 128.936, 0.027
292, 0.099, 128.936, 0.025
294, 0.101, 128.936, 0.022
296, 0.102, 128.936, 0.020
298, 0.103, 128.936, 0.019
300, 0.105, 129.023, -0.053
302, 0.106, 129.023, -0.048
304, 0.108, 129.023, -0.044
306, 0.109, 128.936, 0.030
308, 0.111, 128.936, 0.027
310, 0.112, 128.936, 0.025
312, 0.113, 128.936, 0.023
314, 0.115, 128.936, 0.021
316, 0.116, 129.023, -0.051
318, 0.118, 129.023, -0.046
320, 0.119, 128.936, 0.027
322, 0.121, 128.936, 0.025
324, 0.122, 128.936, 0.023
326, 0.124, 128.936, 0.021
328, 0.125, 128.936, 0.019
330, 0.127, 128.936, 0.017
332, 0.129, 128.936, 0.016
334, 0.130, 129.023, -0.056
336, 0.132, 128.936, 0.019
338, 0.133, 129.023, -0.053
340, 0.135, 128.936, 0.022
342, 0.136, 129.023, -0.050
344, 0.138, 129.023, -0.045
346, 0.140, 129.023, -0.041
348, 0.141, 128.936, 0.032
350, 0.143, 129.023, -0.040
352, 0.144, 129.023, -0.037
354, 0.146, 129.023, -0.033
356, 0.148, 129.023, -0.030
358, 0.149, 129.023, -0.028
360, 0.151, 128.936, 0.045
362, 0.153, 129.023, -0.029
364, 0.155, 128.936, 0.043
366, 0.156, 128.936, 0.039
368, 0.158, 128.936, 0.036
370, 0.160, 129.023, -0.037
372, 0.161, 129.023, -0.034
374, 0.163, 128.936, 0.039
376, 0.165, 128.936, 0.035
378, 0.167, 128.936, 0.032
380, 0.168, 128.936, 0.029
382, 0.170, 128.936, 0.027
384, 0.172, 129.023, -0.046
386, 0.174, 129.023, -0.041
388, 0.176, 129.023, -0.038
390, 0.177, 129.023, -0.034
392, 0.179, 128.936, 0.039
394, 0.181, 129.023, -0.035
396, 0.183, 128.936, 0.038
398, 0.185, 129.023, -0.035
400, 0.187, 128.936, 0.038
402, 0.189, 129.023, -0.035
404, 0.190, 129.023, -0.032
406, 0.192, 128.936, 0.041
408, 0.194, 128.936, 0.037
410, 0.196, 128.936, 0.034
412, 0.198, 129.023, -0.039
414, 0.200, 128.936, 0.034
416, 0.202, 129.023, -0.039
418, 0.204, 128.936, 0.035
420, 0.206, 129.023, -0.038
422, 0.208, 128.936, 0.035
424, 0.210, 128.936, 0.032
426, 0.212, 128.936, 0.029
428, 0.214, 128.936, 0.026
430, 0.216, 129.023, -0.046
432, 0.218, 129.023, -0.042
434, 0.220, 128.936, 0.032
436, 0.222, 128.936, 0.029
438, 0.224, 128.936, 0.026
440, 0.226, 128.936, 0.024
442, 0.228, 128.936, 0.022
444, 0.230, 128.936, 0.020
446, 0.232, 129.111, -0.121
448, 0.234, 128.936, 0.029
450, 0.236, 128.936, 0.027
452, 0.238, 129.023, -0.045
454, 0.240, 129.023, -0.041
456, 0.242, 128.936, 0.032
458, 0.245, 128.936, 0.030
460, 0.247, 128.936, 0.027
462, 0.249, 129.023, -0.045
464, 0.251, 129.023, -0.041
466, 0.253, 129.023, -0.037
468, 0.255, 128.936, 0.036
470, 0.258, 128.936, 0.032
472, 0.260, 128.936, 0.029
474, 0.262, 129.023, -0.043
476, 0.264, 128.936, 0.031
478, 0.266, 129.023, -0.042
480, 0.269, 128.936, 0.032
482, 0.271, 128.936, 0.029
484, 0.273, 129.023, -0.044
486, 0.275, 129.023, -0.040
488, 0.278, 128.936, 0.034
490, 0.280, 128.936, 0.031
492, 0.282, 129.023, -0.042
494, 0.284, 129.023, -0.038
496, 0.287, 128.936, 0.035
498, 0.289, 129.023, -0.038
500, 0.291, 129.023, -0.034
502, 0.294, 129.023, -0.031
504, 0.296, 129.023, -0.028
506, 0.298, 128.936, 0.044
508, 0.301, 128.936, 0.040
510, 0.303, 129.023, -0.033
512, 0.305, 129.023, -0.030
514, 0.308, 128.936, 0.042
516, 0.310, 128.936, 0.038
518, 0.313, 128.936, 0.035
520, 0.315, 128.936, 0.032
522, 0.317, 128.936, 0.029
524, 0.320, 128.936, 0.026
526, 0.322, 128.936, 0.024
528, 0.325, 128.936, 0.022
530, 0.327, 128.936, 0.020
532, 0.330, 128.936, 0.018
534, 0.332, 129.023, -0.053
536, 0.335, 128.936, 0.021
538, 0.337, 128.936, 0.019
540, 0.340, 128.936, 0.017
542, 0.342, 129.023, -0.054
544, 0.345, 129.023, -0.049
546, 0.347, 128.936, 0.025
548, 0.350, 128.936, 0.023
550, 0.352, 128.936, 0.021
552, 0.355, 128.936, 0.019
554, 0.357, 128.936, 0.017
556, 0.360, 128.936, 0.016
558, 0.362, 129.023, -0.055
560, 0.365, 129.023, -0.050
562, 0.368, 128.936, 0.024
564, 0.370, 129.023, -0.048
566, 0.373, 129.023, -0.044
568, 0.375, 129.023, -0.040
570, 0.378, 128.936, 0.034
572, 0.381, 128.936, 0.031
574, 0.383, 128.936, 0.028
576, 0.386, 129.023, -0.044
578, 0.389, 128.936, 0.029
580, 0.391, 129.023, -0.043
582, 0.394, 128.936, 0.031
584, 0.397, 128.936, 0.028
586, 0.399, 129.023, -0.044
588, 0.402, 129.023, -0.040
590, 0.405, 129.023, -0.037
592, 0.408, 129.023, -0.033
594, 0.410, 128.936, 0.039
596, 0.413, 129.023, -0.034
598, 0.416, 128.936, 0.039
600, 0.419, 128.936, 0.035
602, 0.421, 128.936, 0.032
604, 0.424, 128.936, 0.029
606, 0.427, 129.023, -0.043
608, 0.430, 129.111, -0.109
610, 0.433, 128.936, 0.040
612, 0.435, 128.936, 0.037
614, 0.438, 129.023, -0.036
616, 0.441, 128.936, 0.037
618, 0.444, 129.023, -0.036
620, 0.447, 129.023, -0.033
622, 0.450, 128.936, 0.040
624, 0.452, 129.023, -0.034
626, 0.455, 128.936, 0.039
628, 0.458, 129.023, -0.034
630, 0.461, 128.936, 0.039
632, 0.464, 128.936, 0.035
634, 0.467, 128.936, 0.032
636, 0.470, 129.023, -0.041
638, 0.473, 128.936, 0.033
640, 0.476, 129.023, -0.041
642, 0.479, 129.023, -0.037
644, 0.482, 128.936, 0.036
646, 0.485, 128.936, 0.033
648, 0.487, 128.936, 0.030
650, 0.490, 128.936, 0.027
652, 0.493, 128.936, 0.025
654, 0.496, 128.936, 0.023
656, 0.499, 128.936, 0.020
658, 0.502, 128.936, 0.019
660, 0.506, 128.936, 0.017
662, 0.509, 129.023, -0.054
664, 0.512, 129.023, -0.049
666, 0.515, 128.936, 0.025
668, 0.518, 129.023, -0.047
670, 0.521, 128.936, 0.027
672, 0.524, 128.936, 0.024
674, 0.527, 129.023, -0.048
676, 0.530, 128.936, 0.026
678, 0.533, 128.936, 0.024
680, 0.536, 128.936, 0.022
682, 0.539, 128.936, 0.020
684, 0.542, 129.023, -0.052
686, 0.546, 129.023, -0.047
688, 0.549, 128.936, 0.027
690, 0.552, 129.023, -0.045
692, 0.555, 128.936, 0.029
694, 0.558, 129.023, -0.044
696, 0.561, 128.936, 0.030
698, 0.565, 129.023, -0.042
700, 0.568, 129.023, -0.038
702, 0.571, 129.023, -0.035
704, 0.574, 128.936, 0.038
706, 0.577, 128.936, 0.035
708, 0.581, 129.023, -0.038
710, 0.584, 128.936, 0.035
712, 0.587, 129.023, -0.038
714, 0.590, 129.023, -0.035
716, 0.594, 128.936, 0.038
718, 0.597, 129.023, -0.035
720, 0.600, 129.023, -0.032
722, 0.604, 128.936, 0.041
724, 0.607, 128.936, 0.037
726, 0.610, 128.936, 0.034
728, 0.613, 129.023, -0.039
730, 0.617, 128.936, 0.034
732, 0.620, 129.023, -0.039
734, 0.623, 128.936, 0.035
736, 0.627, 128.936, 0.031
738, 0.630, 128.936, 0.029
740, 0.634, 129.023, -0.044
742, 0.637, 128.936, 0.030
744, 0.640, 129.023, -0.042
746, 0.644, 129.023, -0.039
748, 0.647, 129.023, -0.035
750, 0.651, 128.936, 0.038
752, 0.654, 128.936, 0.035
754, 0.657, 129.023, -0.038
756, 0.661, 129.023, -0.035
758, 0.664, 129.023, -0.032
760, 0.668, 128.936, 0.041
762, 0.671, 129.023, -0.033
764, 0.675, 129.023, -0.030
766, 0.678, 129.023, -0.027
768, 0.682, 128.936, 0.045
770, 0.685, 128.936, 0.041
772, 0.689, 128.936, 0.037
774, 0.692, 128.936, 0.034
776, 0.696, 128.936, 0.031
778, 0.699, 128.936, 0.028
780, 0.703, 128.936, 0.026
782, 0.706, 129.023, -0.046
784, 0.710, 128.936, 0.027
786, 0.713, 129.023, -0.045
788, 0.717, 128.936, 0.029
790, 0.721, 129.023, -0.043
792, 0.724, 129.023, -0.039
794, 0.728, 128.936, 0.034
796, 0.731, 129.023, -0.039
798, 0.735, 129.023, -0.035
800, 0.739, 129.023, -0.032
802, 0.742, 129.023, -0.029
804, 0.746, 128.936, 0.043
806, 0.749, 128.936, 0.039
808, 0.753, 129.023, -0.034
810, 0.757, 129.023, -0.031
812, 0.760, 129.111, -0.098
814, 0.764, 129.111, -0.089
816, 0.768, 129.111, -0.081
818, 0.771, 129.111, -0.074
820, 0.775, 129.111, -0.067
822, 0.779, 129.199, -0.131
824, 0.783, 129.111, -0.048
826, 0.786, 129.111, -0.044
828, 0.790, 129.199, -0.110
830, 0.794, 129.111, -0.030
832, 0.798, 129.111, -0.027
834, 0.801, 129.199, -0.095
836, 0.805, 129.199, -0.086
838, 0.809, 129.199, -0.078
840, 0.813, 129.287, -0.141
842, 0.816, 129.199, -0.058
844, 0.820, 129.199, -0.053
846, 0.824, 129.199, -0.048
848, 0.828, 129.199, -0.044
850, 0.832, 129.199, -0.040
852, 0.836, 129.111, 0.033
854, 0.839, 129.111, 0.030
856, 0.843, 129.287, -0.112
858, 0.847, 129.111, 0.038
860, 0.851, 129.199, -0.035
862, 0.855, 129.199, -0.032
864, 0.859, 129.199, -0.029
866, 0.863, 129.199, -0.027
868, 0.867, 129.199, -0.024
870, 0.870, 129.199, -0.022
872, 0.874, 129.199, -0.020
874, 0.878, 129.199, -0.018
876, 0.882, 129.199, -0.017
878, 0.886, 129.199, -0.015
880, 0.890, 129.199, -0.014
882, 0.894, 129.199, -0.012
884, 0.898, 129.199, -0.011
886, 0.902, 129.199, -0.010
888, 0.906, 129.287, -0.079
890, 0.910, 129.287, -0.072
892, 0.914, 129.199, 0.004
894, 0.918, 129.199, 0.004
896, 0.922, 129.111, 0.073
898, 0.926, 129.199, -0.003
900, 0.930, 129.199, -0.003
902, 0.934, 129.199, -0.003
904, 0.938, 129.199, -0.002
906, 0.942, 129.199, -0.002
