Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 228.691, 0.444
10, 0.000, 228.604, 0.417
15, 0.000, 228.691, 0.272
20, 0.000, 228.604, 0.279
25, 0.000, 228.604, 0.223
30, 0.001, 228.604, 0.179
35, 0.001, 228.516, 0.204
40, 0.001, 228.691, 0.041
45, 0.002, 228.691, 0.033
50, 0.002, 228.604, 0.087
55, 0.003, 228.691, 0.009
60, 0.004, 228.691, 0.007
65, 0.004, 228.691, 0.005
70, 0.005, 228.516, 0.127
75, 0.006, 228.691, -0.021
80, 0.007, 228.691, -0.017
85, 0.008, 228.691, -0.014
90, 0.009, 228.691, -0.011
95, 0.010, 228.604, 0.053
100, 0.011, 228.604, 0.042
105, 0.012, 228.516, 0.095
110, 0.013, 228.691, -0.047
115, 0.014, 228.691, -0.037
120, 0.016, 228.604, 0.032
125, 0.017, 228.691, -0.036
130, 0.018, 228.691, -0.029
135, 0.020, 228.604, 0.038
140, 0.022, 228.691, -0.031
145, 0.023, 228.604, 0.037
150, 0.025, 228.604, 0.029
155, 0.027, 228.604, 0.024
160, 0.028, 228.604, 0.019
165, 0.030, 228.604, 0.015
170, 0.032, 228.516, 0.073
175, 0.034, 228.604, -0.003
180, 0.036, 228.691, -0.063
185, 0.038, 228.691, -0.051
190, 0.040, 228.604, 0.021
195, 0.043, 228.604, 0.017
200, 0.045, 228.691, -0.048
205, 0.047, 228.604, 0.023
210, 0.050, 228.604, 0.018
215, 0.052, 228.691, -0.047
220, 0.055, 228.604, 0.024
225, 0.057, 228.516, 0.081
230, 0.060, 228.604, 0.003
235, 0.063, 228.691, -0.059
240, 0.065, 228.604, 0.014
245, 0.068, 228.604, 0.011
250, 0.071, 228.516, 0.070
255, 0.074, 228.604, -0.005
260, 0.077, 228.691, -0.065
265, 0.080, 228.691, -0.052
270, 0.083, 228.516, 0.081
275, 0.086, 228.691, -0.058
280, 0.089, 228.604, 0.015
285, 0.093, 228.691, -0.049
290, 0.096, 228.604, 0.022
295, 0.099, 228.604, 0.017
300, 0.103, 228.604, 0.014
305, 0.106, 228.604, 0.011
310, 0.110, 228.604, 0.009
315, 0.113, 228.604, 0.007
320, 0.117, 228.604, 0.006
325, 0.121, 228.691, -0.057
330, 0.125, 228.604, 0.016
335, 0.129, 228.604, 0.013
340, 0.132, 228.604, 0.010
345, 0.136, 228.691, -0.053
350, 0.140, 228.604, 0.019
355, 0.144, 228.604, 0.015
360, 0.149, 228.691, -0.049
365, 0.153, 228.604, 0.022
370, 0.157, 228.691, -0.044
375, 0.161, 228.691, -0.035
380, 0.166, 228.691, -0.028
385, 0.170, 228.604, 0.039
390, 0.175, 228.604, 0.031
395, 0.179, 228.604, 0.025
400, 0.184, 228.604, 0.020
405, 0.189, 228.604, 0.016
410, 0.193, 228.604, 0.013
415, 0.198, 228.604, 0.010
420, 0.203, 228.604, 0.008
425, 0.208, 228.691, -0.055
430, 0.213, 228.691, -0.044
435, 0.218, 228.604, 0.026
440, 0.223, 228.604, 0.021
445, 0.228, 228.691, -0.045
450, 0.233, 228.604, 0.026
455, 0.238, 228.604, 0.021
460, 0.244, 228.516, 0.078
465, 0.249, 228.691, -0.060
470, 0.254, 228.604, 0.013
475, 0.260, 228.604, 0.010
480, 0.265, 228.604, 0.008
485, 0.271, 228.516, 0.068
490, 0.276, 228.691, -0.068
495, 0.282, 228.604, 0.007
500, 0.288, 228.516, 0.067
505, 0.294, 228.691, -0.069
510, 0.300, 228.691, -0.055
515, 0.305, 228.604, 0.017
520, 0.311, 228.604, 0.014
525, 0.317, 228.604, 0.011
530, 0.323, 228.604, 0.009
535, 0.330, 228.604, 0.007
540, 0.336, 228.691, -0.056
545, 0.342, 228.604, 0.017
550, 0.348, 228.691, -0.048
555, 0.355, 228.691, -0.038
560, 0.361, 228.604, 0.031
565, 0.368, 228.604, 0.025
570, 0.374, 228.604, 0.020
575, 0.381, 228.691, -0.046
580, 0.387, 228.604, 0.025
585, 0.394, 228.604, 0.020
