time, angle1, vel1, acc1
5428,250.40, -0.19, -37.98
10401,250.40, -0.17, 3.44
15380,250.31, -0.19, -2.46
20384,250.49, -0.11, 14.54
25382,250.49, -0.10, 2.04
30381,250.31, -0.15, -9.31
35387,250.40, -0.11, 8.29
40393,250.66, -0.01, 18.71
45399,250.66, -0.01, 0.25
50399,251.10, 0.13, 28.15
55399,251.37, 0.20, 14.43
60415,251.81, 0.32, 24.28
65414,252.25, 0.43, 22.09
70409,252.86, 0.59, 31.24
75413,253.30, 0.67, 17.23
80418,254.09, 0.86, 38.02
85420,254.71, 0.98, 23.38
90421,255.59, 1.17, 37.99
95418,256.46, 1.34, 34.58
100431,257.43, 1.53, 36.97
105433,258.49, 1.73, 39.23
110435,259.28, 1.82, 18.89
115437,260.42, 2.02, 39.49
120439,261.56, 2.20, 35.95
125444,262.71, 2.36, 32.63
130447,263.94, 2.54, 35.31
135449,265.34, 2.75, 43.26
140454,266.57, 2.89, 28.11
145461,268.15, 3.13, 47.96
150456,269.56, 3.30, 32.42
155458,270.97, 3.44, 29.46
160462,272.46, 3.60, 32.35
165466,274.13, 3.81, 40.60
170471,275.80, 3.99, 36.91
175474,277.38, 4.13, 27.93
180471,279.14, 4.32, 36.71
185476,280.81, 4.45, 27.59
190484,282.74, 4.66, 41.86
195485,284.50, 4.80, 26.94
200483,286.44, 4.98, 35.73
205488,288.37, 5.14, 32.36
210490,290.39, 5.31, 35.06
215491,292.50, 5.50, 37.51
220498,294.70, 5.70, 39.57
225494,296.98, 5.91, 41.71
230499,299.09, 6.04, 26.62
235510,301.55, 6.27, 46.47
240509,303.84, 6.43, 31.22
245510,306.47, 6.68, 50.69
250528,309.11, 6.91, 45.79
255517,311.92, 7.18, 53.40
260515,314.65, 7.39, 42.75
265524,317.72, 7.70, 60.97
270527,320.71, 7.95, 49.94
275533,323.88, 8.23, 56.43
280532,327.22, 8.54, 62.71
285548,330.73, 8.88, 67.70
290538,334.51, 9.28, 79.04
295546,338.20, 9.60, 65.86
300541,342.25, 10.02, 82.59
305548,346.55, 10.47, 91.29
310556,350.86, 10.89, 83.19
315562,355.25, 11.30, 81.09
320570,359.91, 11.75, 91.16
325575,4.75, 12.22, 93.95
330569,9.76, 12.70, 96.04
335562,14.77, 13.14, 87.80
340567,19.86, 13.57, 85.02
345566,24.96, 13.95, 77.46
350575,30.23, 14.36, 81.17
355580,35.42, 14.70, 68.46
360580,40.61, 15.01, 62.32
