time, angle1, vel1, acc1
365582,45.44, 15.18, 34.26
370582,50.54, 15.42, 48.02
375582,55.20, 15.50, 15.73
380585,60.12, 15.66, 31.00
385592,64.69, 15.69, 5.84
390596,69.26, 15.71, 5.14
395598,73.74, 15.71, -0.80
400601,78.05, 15.65, -11.96
405601,82.35, 15.59, -10.81
410610,86.31, 15.43, -32.40
415607,90.53, 15.37, -12.30
420610,94.39, 15.20, -33.80
425613,98.35, 15.08, -24.98
430618,102.39, 14.99, -17.40
435621,106.26, 14.86, -26.87
440626,110.30, 14.79, -13.32
445628,114.43, 14.76, -6.31
450632,118.56, 14.73, -5.79
455635,122.78, 14.73, 0.27
460638,126.74, 14.65, -16.67
465641,131.31, 14.77, 24.27
470640,135.97, 14.91, 27.65
475646,140.62, 15.03, 24.74
480653,145.55, 15.23, 39.38
485651,150.82, 15.52, 58.41
490664,156.36, 15.87, 69.21
495660,161.81, 16.16, 58.29
500664,167.87, 16.61, 91.55
505667,173.85, 17.00, 77.76
510670,180.53, 17.58, 115.23
515673,187.03, 18.05, 93.83
520676,194.06, 18.64, 118.18
525681,201.01, 19.15, 102.39
530682,207.77, 19.56, 81.88
535695,214.80, 20.01, 90.38
540689,221.48, 20.32, 61.33
545694,228.52, 20.71, 77.36
550692,234.93, 20.86, 31.53
555696,241.00, 20.89, 5.78
560702,247.24, 20.98, 16.66
565710,253.04, 20.91, -13.09
570708,258.84, 20.85, -11.37
575722,264.29, 20.69, -33.58
580723,269.74, 20.54, -28.95
585724,274.83, 20.30, -48.82
590721,280.28, 20.18, -22.93
595715,285.64, 20.05, -25.84
600723,290.74, 19.85, -40.70
605727,296.19, 19.78, -14.51
610733,301.64, 19.71, -13.54
615737,307.35, 19.73, 4.81
620735,313.15, 19.78, 9.95
625740,319.57, 20.02, 48.16
630745,325.99, 20.24, 43.33
635741,332.75, 20.55, 62.28
640749,340.14, 21.03, 95.26
645755,347.96, 21.60, 114.56
650753,356.13, 22.23, 126.70
655763,4.92, 23.00, 154.02
660765,13.89, 23.76, 151.44
665764,22.94, 24.48, 143.44
670765,32.26, 25.21, 146.80
675777,41.22, 25.77, 110.78
680776,49.83, 26.16, 79.30
685783,58.62, 26.58, 82.39
690779,66.09, 26.54, -7.90
695785,73.39, 26.44, -19.22
700788,80.68, 26.35, -17.28
705793,87.19, 26.02, -65.89
710797,93.78, 25.75, -54.40
715798,100.46, 25.53, -43.50
720799,106.79, 25.22, -62.25
725801,112.41, 24.72, -101.11
730808,118.83, 24.51, -41.91
735807,125.60, 24.43, -15.22
740809,132.01, 24.25, -36.10
745815,138.87, 24.22, -5.76
750816,146.07, 24.31, 17.63
755825,153.72, 24.53, 43.52
760833,161.98, 24.92, 78.53
765832,170.24, 25.28, 72.23
770836,179.38, 25.89, 120.93
775847,188.44, 26.41, 103.91
780844,197.84, 27.00, 118.29
785844,207.33, 27.56, 112.17
790858,216.83, 28.06, 101.09
795853,226.32, 28.53, 93.73
800852,234.93, 28.68, 28.84
805865,243.54, 28.80, 24.86
810864,251.28, 28.64, -31.58
815864,259.19, 28.55, -18.15
820874,266.48, 28.27, -56.23
825876,273.69, 27.99, -55.87
830889,280.99, 27.76, -46.53
835883,288.02, 27.47, -57.05
840883,295.49, 27.35, -24.33
845889,302.43, 27.07, -56.52
850902,310.43, 27.15, 16.37
855897,318.34, 27.20, 10.35
860895,327.22, 27.55, 69.17
865900,336.80, 28.09, 107.56
870900,346.64, 28.66, 115.26
875903,357.63, 29.55, 177.12
880908,8.88, 30.44, 177.78
885909,20.48, 31.36, 183.60
890915,31.82, 32.11, 150.12
895916,43.33, 32.85, 148.38
900918,54.32, 33.35, 101.24
905920,64.07, 33.42, 13.34
910927,73.65, 33.43, 1.08
915930,82.00, 33.04, -77.01
920929,90.26, 32.66, -75.57
925927,98.26, 32.24, -85.17
930939,105.91, 31.73, -100.79
935933,113.64, 31.31, -84.84
940941,121.38, 30.92, -78.16
945945,129.46, 30.68, -48.37
950951,137.90, 30.57, -21.97
955954,146.87, 30.64, 14.10
960955,156.27, 30.84, 40.64
965955,166.82, 31.39, 109.66
970952,177.71, 32.00, 122.13
975961,188.96, 32.66, 132.58
980966,200.92, 33.49, 165.87
985971,212.26, 34.05, 111.39
990970,223.95, 34.67, 124.26
995971,234.76, 34.95, 56.29
1000979,245.04, 35.04, 17.42
1005980,254.79, 34.95, -16.91
1010987,263.58, 34.57, -77.21
1015980,272.37, 34.22, -69.40
1020992,280.55, 33.71, -103.12
1025998,288.81, 33.26, -88.60
1031012,297.42, 32.97, -59.02
1036005,305.86, 32.66, -62.19
1041016,315.18, 32.65, -2.13
1046023,324.84, 32.75, 19.92
1051024,335.39, 33.12, 75.44
1056029,346.64, 33.68, 112.01
1061026,358.77, 34.48, 159.19
1066029,11.78, 35.48, 199.57
1071033,25.31, 36.55, 215.03
1076032,38.14, 37.31, 151.37
1081048,50.27, 37.76, 90.57
1086043,62.23, 38.13, 74.36
1091046,72.60, 37.96, -34.33
1096047,82.44, 37.64, -64.85
1101045,91.58, 37.12, -103.10
1106057,100.28, 36.51, -123.25
1111055,108.90, 35.93, -115.78
1116063,117.07, 35.25, -134.53
1121068,125.95, 34.88, -75.66
1126058,134.74, 34.50, -75.63
1131066,144.23, 34.38, -24.21
1136065,154.07, 34.38, 0.84
1141072,164.97, 34.72, 66.91
1146069,176.40, 35.19, 95.47
1151074,188.35, 35.79, 119.40
1156074,200.48, 36.39, 120.39
1161085,212.17, 36.79, 80.32
1166080,224.03, 37.22, 86.04
1171087,235.11, 37.36, 26.35
1176091,245.74, 37.34, -3.57
1181089,255.67, 37.10, -47.51
1186096,264.99, 36.69, -82.98
1191096,274.22, 36.28, -80.34
1196108,282.57, 35.63, -129.95
1201109,291.09, 35.11, -105.55
1206110,299.79, 34.68, -85.64
1211117,309.02, 34.46, -44.37
1216115,318.52, 34.34, -22.82
1221114,328.80, 34.49, 28.88
1226122,340.22, 34.98, 98.64
1231123,352.18, 35.60, 123.67
1236130,5.36, 36.55, 190.39
1241137,18.46, 37.39, 167.02
1246134,32.08, 38.32, 186.35
1251135,45.18, 39.00, 135.64
1256134,56.95, 39.19, 39.79
1261139,67.94, 39.12, -14.66
1266146,77.96, 38.74, -75.32
1271148,87.54, 38.26, -95.96
1276151,96.24, 37.55, -142.60
1281158,105.03, 36.93, -124.43
1286152,113.64, 36.31, -123.45
1291166,122.17, 35.71, -119.73
1296177,131.04, 35.28, -85.94
1301177,140.19, 34.98, -60.20
1306179,150.03, 34.93, -10.30
1311177,160.66, 35.14, 41.17
1316180,171.74, 35.46, 64.73
1321187,183.78, 36.06, 120.14
1326185,196.00, 36.67, 121.14
1331192,208.56, 37.32, 131.46
1336198,220.34, 37.67, 69.46
1341197,232.21, 38.02, 69.43
1346213,242.75, 37.90, -22.87
1351201,252.95, 37.71, -39.41
1356207,262.44, 37.29, -82.70
1361217,271.14, 36.66, -126.02
1366211,279.93, 36.13, -106.71
1371228,288.63, 35.60, -105.59
1376223,297.25, 35.11, -99.08
1381230,305.95, 34.68, -86.31
1386235,315.35, 34.52, -31.50
1391226,325.63, 34.65, 25.58
1396232,336.18, 34.85, 40.14
1401231,348.22, 35.51, 131.94
1406239,0.53, 36.19, 136.52
1411241,13.89, 37.14, 190.52
1416243,27.07, 37.96, 162.73
1421248,40.87, 38.89, 186.94
1426254,53.26, 39.29, 80.23
1431250,64.51, 39.30, 1.05
1436256,74.97, 39.04, -50.45
1441260,84.64, 38.57, -95.47
1446264,93.87, 37.99, -114.80
1451265,102.48, 37.28, -143.03
1456266,111.09, 36.62, -130.71
1461276,119.79, 36.06, -113.54
1466274,128.23, 35.46, -118.80
1471280,137.72, 35.25, -42.12
1476280,147.30, 35.09, -31.55
1481281,157.68, 35.20, 21.20
1486287,168.57, 35.46, 51.33
1491294,180.09, 35.89, 86.70
1496293,192.66, 36.62, 146.92
1501295,204.61, 37.09, 93.91
1506295,216.74, 37.58, 96.27
1511305,228.25, 37.81, 47.88
1516306,239.33, 37.90, 16.15
1521307,249.61, 37.72, -35.46
1526309,259.28, 37.36, -71.20
1531314,268.68, 36.95, -82.13
1536318,277.38, 36.35, -119.37
1541321,286.26, 35.87, -96.82
1546320,294.70, 35.29, -115.41
1551332,303.75, 34.96, -67.24
1556335,312.98, 34.71, -49.31
1561350,322.82, 34.68, -7.00
1566345,333.63, 34.96, 57.63
1571348,345.23, 35.47, 101.53
1576355,357.89, 36.27, 158.88
1581357,11.25, 37.21, 189.51
1586356,24.52, 38.05, 167.56
1591373,37.97, 38.85, 160.68
1596363,50.36, 39.27, 83.17
1601365,62.14, 39.44, 34.20
1606366,72.51, 39.15, -57.42
1611383,82.53, 38.77, -76.94
1616374,91.58, 38.13, -127.92
1621378,100.46, 37.48, -129.51
1626385,108.81, 36.73, -151.27
1631385,117.51, 36.15, -114.60
1636397,126.12, 35.60, -111.19
1641388,135.18, 35.24, -70.57
1646403,144.58, 35.02, -44.76
1651410,154.86, 35.11, 18.10
1656400,165.59, 35.33, 42.97
1661401,176.75, 35.66, 67.12
1666403,189.14, 36.36, 139.07
1671403,201.27, 36.91, 110.22
1676412,213.49, 37.43, 104.30
1681414,225.53, 37.86, 85.13
1686421,236.78, 37.99, 26.31
1691422,247.24, 37.86, -25.40
1696423,256.99, 37.52, -68.59
1701430,266.22, 37.04, -96.03
1706431,275.01, 36.46, -114.92
1711431,284.06, 36.03, -86.94
1716434,292.85, 35.54, -97.07
1721437,301.20, 34.96, -115.56
1726442,310.43, 34.72, -49.81
1731448,319.83, 34.55, -33.50
1736445,330.29, 34.73, 37.23
1741452,341.54, 35.15, 83.33
1746451,353.67, 35.81, 131.90
1751458,6.94, 36.77, 192.02
1756460,20.13, 37.62, 169.31
1761460,33.75, 38.53, 181.99
1766459,46.32, 39.02, 98.59
1771466,58.54, 39.35, 66.42
1776462,69.17, 39.16, -39.01
1781475,79.63, 38.91, -48.63
1786475,88.86, 38.31, -120.30
1791481,97.82, 37.68, -127.37
1796479,106.52, 37.02, -131.57
1801481,114.96, 36.33, -136.90
1806493,123.75, 35.82, -102.56
1811487,132.63, 35.39, -86.44
1816492,142.12, 35.19, -40.38
1821495,151.96, 35.11, -14.50
1826510,162.60, 35.29, 36.07
1831502,174.29, 35.81, 102.53
1836503,185.71, 36.18, 75.15
1841509,198.19, 36.86, 134.78
1846513,210.06, 37.28, 83.86
1851520,222.10, 37.71, 86.86
1856524,233.79, 37.99, 56.76
1861522,244.25, 37.87, -24.96
1866530,254.36, 37.64, -46.69
1871527,263.67, 37.18, -91.88
1876535,272.81, 36.70, -95.50
1881528,281.34, 36.08, -124.33
1886533,289.95, 35.53, -108.75
1891540,298.56, 35.04, -99.27
1896544,307.79, 34.78, -50.51
1901551,317.55, 34.72, -13.28
1906549,327.83, 34.83, 22.70
1911562,338.91, 35.18, 68.99
1916570,350.68, 35.73, 109.97
1921556,3.87, 36.67, 188.69
1926561,16.70, 37.41, 148.07
1931563,30.50, 38.40, 197.10
1936569,43.15, 38.92, 105.72
1941572,55.37, 39.27, 68.90
1946577,66.88, 39.36, 17.79
1951581,77.34, 39.10, -51.01
1956578,86.92, 38.59, -101.79
1961578,95.62, 37.85, -147.91
1966591,104.41, 37.20, -131.01
1971588,112.76, 36.47, -144.88
1976594,121.20, 35.84, -127.29
1981594,130.25, 35.46, -76.12
1986597,139.48, 35.17, -58.26
1991604,149.41, 35.12, -8.81
1996606,159.61, 35.17, 9.13
2001605,171.30, 35.69, 103.65
2006613,182.81, 36.10, 82.96
2011617,195.03, 36.70, 120.21
2016611,207.60, 37.36, 131.69
2021621,219.55, 37.76, 79.44
2026619,230.98, 37.96, 40.24
2031628,242.23, 38.08, 24.15
2036629,252.51, 37.89, -38.65
2041634,261.83, 37.40, -96.88
2046637,271.05, 36.93, -93.62
2051637,279.76, 36.34, -118.11
2056647,288.46, 35.80, -108.27
2061642,296.98, 35.26, -108.83
2066649,305.95, 34.90, -71.42
2071651,315.35, 34.72, -36.98
2076652,325.46, 34.77, 10.94
2081659,336.45, 35.10, 65.93
2086668,348.05, 35.59, 98.12
2091683,0.97, 36.45, 172.55
2096674,14.15, 37.33, 176.15
2101675,27.51, 38.18, 170.07
2106679,40.52, 38.84, 132.02
2111681,53.09, 39.31, 92.66
2116683,64.69, 39.42, 22.52
2121687,74.97, 39.10, -63.30
2126697,84.99, 38.73, -75.04
2131701,93.87, 38.03, -140.37
2136706,102.83, 37.42, -121.79
2141714,111.09, 36.64, -156.02
2146704,119.79, 36.08, -111.67
2151709,128.41, 35.53, -109.07
2156715,137.81, 35.29, -48.89
2161716,147.66, 35.21, -16.00
2166714,157.76, 35.22, 2.85
2171723,168.93, 35.57, 68.34
2176737,180.35, 35.96, 78.24
2181744,192.92, 36.69, 146.22
2186726,204.87, 37.15, 93.35
2191739,217.09, 37.65, 99.81
2196737,228.60, 37.89, 47.27
2201739,239.77, 37.99, 20.65
2206749,250.31, 37.89, -21.02
2211747,259.98, 37.52, -74.26
2216753,269.21, 37.04, -95.61
2221758,277.82, 36.41, -126.27
2226758,286.61, 35.89, -102.99
2231761,294.96, 35.28, -122.18
2236766,304.28, 35.03, -49.37
2241765,313.33, 34.73, -61.25
2246770,323.53, 34.81, 16.16
2251773,334.16, 35.02, 43.14
2256776,346.11, 35.64, 122.62
2261780,358.24, 36.25, 122.77
2266780,11.78, 37.26, 201.69
2271782,25.40, 38.20, 188.19
2276790,38.32, 38.83, 125.72
2281787,51.15, 39.38, 110.25
2286787,62.58, 39.43, 10.30
2291796,73.39, 39.28, -30.59
2296798,83.14, 38.81, -94.26
2301799,92.29, 38.18, -124.88
2306805,101.25, 37.56, -124.76
2311806,109.69, 36.83, -146.77
2316810,118.21, 36.19, -127.95
2321819,126.83, 35.63, -111.05
2326816,135.97, 35.30, -66.26
2331821,145.55, 35.13, -33.32
2336824,155.83, 35.21, 14.77
2341827,166.82, 35.50, 57.85
2346831,178.33, 35.93, 85.98
2351839,190.46, 36.51, 116.97
2356841,202.68, 37.07, 112.59
2361845,215.16, 37.67, 118.70
2366845,226.58, 37.87, 41.44
2371850,238.27, 38.15, 54.31
2376856,248.47, 37.92, -46.16
2381866,258.31, 37.59, -64.84
2386864,267.28, 37.03, -112.67
2391864,276.59, 36.62, -80.95
2396870,285.12, 36.00, -124.46
2401868,293.82, 35.50, -101.02
2406884,302.43, 35.00, -99.49
2411872,311.57, 34.73, -53.88
2416878,321.50, 34.73, -0.73
2421881,331.79, 34.83, 21.93
2426886,343.74, 35.47, 126.04
2431892,355.78, 36.07, 120.06
2436900,8.88, 36.94, 175.73
2441905,22.24, 37.84, 178.39
2446897,35.95, 38.76, 184.86
2451896,48.25, 39.15, 77.71
2456899,60.29, 39.41, 53.19
2461905,70.93, 39.21, -41.17
2466904,81.30, 38.94, -53.32
2471911,90.79, 38.42, -105.18
2476911,99.58, 37.72, -139.62
2481913,108.28, 37.06, -132.63
2486912,116.54, 36.31, -148.23
2491921,125.33, 35.80, -102.43
2496923,134.30, 35.40, -81.05
2501927,143.96, 35.25, -29.38
2506929,153.90, 35.20, -9.70
2511932,164.88, 35.49, 58.08
2516935,176.22, 35.87, 75.44
2521939,188.35, 36.46, 118.28
2526933,200.92, 37.14, 136.53
2531940,212.78, 37.53, 78.35
2536953,224.91, 37.97, 87.72
2541954,236.25, 38.12, 30.03
2546953,246.71, 37.98, -27.87
2551953,256.55, 37.66, -65.11
2556963,266.13, 37.28, -76.25
2561964,274.66, 36.60, -135.78
2566962,283.62, 36.12, -95.29
2571966,292.24, 35.57, -109.45
2576968,301.11, 35.16, -82.62
2581973,310.61, 34.98, -36.15
2586974,320.10, 34.82, -32.73
2591974,330.56, 34.98, 31.68
2596977,341.81, 35.37, 79.07
2601980,354.38, 36.15, 155.55
2606993,7.12, 36.91, 151.48
2611984,20.74, 37.88, 195.50
2617001,34.63, 38.84, 191.99
2621993,47.11, 39.28, 88.07
2626997,59.33, 39.59, 62.05
2632002,69.79, 39.32, -55.31
2637004,80.42, 39.12, -38.81
2642011,89.47, 38.44, -136.80
2647013,98.61, 37.85, -118.10
2652019,107.05, 37.09, -152.19
2657023,115.75, 36.48, -121.61
2662027,124.01, 35.79, -138.57
2667026,133.24, 35.47, -63.49
2672035,142.82, 35.28, -37.31
2677033,152.84, 35.26, -3.81
2682033,163.56, 35.47, 40.44
2687044,174.90, 35.84, 73.88
2692038,187.03, 36.44, 120.49
2697043,199.07, 36.95, 102.74
2702054,211.64, 37.58, 125.55
2707063,223.42, 37.91, 65.90
2712066,235.02, 38.16, 49.59
2717055,246.01, 38.18, 4.20
2722053,255.67, 37.78, -79.14
2727065,265.08, 37.33, -90.09
2732066,274.13, 36.82, -103.12
2737069,282.66, 36.18, -127.42
2742072,291.27, 35.63, -110.38
2747080,300.06, 35.18, -89.69
2752077,309.11, 34.86, -63.87
2757083,318.78, 34.76, -19.61
2762079,329.33, 34.96, 38.78
2767087,340.40, 35.29, 67.50
2772093,352.53, 35.94, 128.52
2777097,5.36, 36.75, 162.01
2782098,18.90, 37.71, 192.10
2787105,32.43, 38.57, 173.63
2792104,45.35, 39.18, 120.50
2797105,57.22, 39.39, 41.94
2802109,68.47, 39.38, -1.26
2807114,78.75, 39.06, -63.15
2812115,88.07, 38.48, -117.85
2817123,97.56, 37.99, -96.92
2822120,106.44, 37.36, -126.24
2827127,114.79, 36.61, -148.89
2832127,122.96, 35.89, -145.95
2837134,131.92, 35.47, -83.08
2842136,141.15, 35.18, -58.24
2847139,151.26, 35.19, 2.39
2852145,161.89, 35.37, 35.94
2857143,173.32, 35.79, 83.31
2862146,185.01, 36.25, 92.13
2867153,197.23, 36.83, 116.87
2872151,209.71, 37.45, 124.11
2877150,221.48, 37.79, 67.98
2882166,233.26, 38.09, 59.73
2887159,243.98, 38.04, -10.24
2892159,253.74, 37.68, -71.44
2897170,263.41, 37.32, -71.63
2902172,272.37, 36.78, -108.61
2907178,281.25, 36.26, -104.95
2912187,289.86, 35.69, -112.96
2917182,298.48, 35.19, -100.38
2922185,307.44, 34.84, -70.06
2927184,317.11, 34.74, -18.98
2932193,327.30, 34.82, 15.23
2937194,338.29, 35.15, 65.65
2942198,350.51, 35.83, 137.17
2947201,3.08, 36.57, 147.65
2952200,16.88, 37.63, 211.96
2957217,29.79, 38.31, 134.95
2962206,42.98, 39.02, 143.24
2967219,55.20, 39.35, 65.19
2972229,66.71, 39.44, 17.75
2977214,76.82, 39.07, -74.53
2982214,86.48, 38.59, -95.57
2987222,95.62, 37.98, -121.24
2992229,103.97, 37.18, -160.59
2997227,112.76, 36.60, -116.61
