Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 296.279, 0.079
10, 0.000, 296.279, 0.063
15, 0.000, 296.279, 0.050
20, 0.000, 296.367, -0.021
25, 0.000, 296.191, 0.106
30, 0.001, 296.279, 0.023
35, 0.001, 296.279, 0.019
40, 0.001, 296.279, 0.015
45, 0.002, 296.279, 0.012
50, 0.002, 296.367, -0.052
55, 0.003, 296.279, 0.020
60, 0.004, 296.279, 0.016
65, 0.004, 296.367, -0.049
70, 0.005, 296.279, 0.022
75, 0.006, 296.279, 0.018
80, 0.007, 296.279, 0.014
85, 0.008, 296.279, 0.011
90, 0.009, 296.279, 0.009
95, 0.010, 296.455, -0.115
100, 0.011, 296.279, 0.030
105, 0.012, 296.279, 0.024
110, 0.013, 296.279, 0.019
115, 0.014, 296.191, 0.077
120, 0.016, 296.279, 0.000
125, 0.017, 296.367, -0.061
130, 0.018, 296.279, 0.012
135, 0.020, 296.279, 0.010
140, 0.022, 296.279, 0.008
145, 0.023, 296.367, -0.055
150, 0.025, 296.279, 0.017
155, 0.027, 296.279, 0.014
160, 0.028, 296.279, 0.011
165, 0.030, 296.279, 0.009
170, 0.032, 296.279, 0.007
175, 0.034, 296.279, 0.006
180, 0.036, 296.279, 0.005
185, 0.038, 296.279, 0.004
190, 0.040, 296.367, -0.058
195, 0.043, 296.191, 0.076
200, 0.045, 296.279, -0.001
205, 0.047, 296.279, -0.000
210, 0.050, 296.279, -0.000
215, 0.052, 296.279, -0.000
220, 0.055, 296.279, -0.000
225, 0.057, 296.279, -0.000
230, 0.060, 296.279, -0.000
235, 0.063, 296.279, -0.000
240, 0.065, 296.279, -0.000
245, 0.068, 296.367, -0.061
250, 0.071, 296.279, 0.012
255, 0.074, 296.367, -0.052
260, 0.077, 296.279, 0.020
265, 0.080, 296.279, 0.016
270, 0.083, 296.367, -0.049
275, 0.086, 296.191, 0.084
280, 0.089, 296.367, -0.056
285, 0.093, 296.279, 0.017
290, 0.096, 296.279, 0.013
295, 0.099, 296.367, -0.051
300, 0.103, 296.367, -0.040
305, 0.106, 296.279, 0.029
310, 0.110, 296.367, -0.038
315, 0.113, 296.279, 0.031
320, 0.117, 296.191, 0.086
325, 0.121, 296.279, 0.007
330, 0.125, 296.279, 0.006
335, 0.129, 296.279, 0.005
340, 0.132, 296.279, 0.004
345, 0.136, 296.279, 0.003
350, 0.140, 296.279, 0.002
355, 0.144, 296.367, -0.059
360, 0.149, 296.279, 0.014
365, 0.153, 296.279, 0.011
370, 0.157, 296.279, 0.009
375, 0.161, 296.279, 0.007
380, 0.166, 296.279, 0.006
385, 0.170, 296.279, 0.005
390, 0.175, 296.279, 0.004
395, 0.179, 296.367, -0.058
400, 0.184, 296.279, 0.015
405, 0.189, 296.279, 0.012
410, 0.193, 296.279, 0.009
415, 0.198, 296.279, 0.007
420, 0.203, 296.279, 0.006
425, 0.208, 296.279, 0.005
430, 0.213, 296.279, 0.004
435, 0.218, 296.279, 0.003
440, 0.223, 296.279, 0.002
445, 0.228, 296.279, 0.002
450, 0.233, 296.191, 0.063
455, 0.238, 296.279, -0.011
460, 0.244, 296.191, 0.053
465, 0.249, 296.191, 0.042
470, 0.254, 296.279, -0.028
475, 0.260, 296.367, -0.084
480, 0.265, 296.279, -0.005
485, 0.271, 296.191, 0.057
490, 0.276, 296.279, -0.016
495, 0.282, 296.279, -0.013
500, 0.288, 296.279, -0.010
505, 0.294, 296.191, 0.053
510, 0.300, 296.279, -0.019
515, 0.305, 296.279, -0.015
520, 0.311, 296.191, 0.050
525, 0.317, 296.279, -0.022
530, 0.323, 296.279, -0.017
535, 0.330, 296.279, -0.014
540, 0.336, 296.279, -0.011
545, 0.342, 296.191, 0.053
550, 0.348, 296.279, -0.019
555, 0.355, 296.279, -0.015
560, 0.361, 296.279, -0.012
565, 0.368, 296.279, -0.010
570, 0.374, 296.279, -0.008
575, 0.381, 296.279, -0.006
580, 0.387, 296.279, -0.005
585, 0.394, 296.279, -0.004
590, 0.401, 296.279, -0.003
595, 0.408, 296.279, -0.003
600, 0.414, 296.367, -0.063
605, 0.421, 296.367, -0.051
610, 0.428, 296.367, -0.041
615, 0.435, 296.279, 0.029
620, 0.442, 296.367, -0.038
625, 0.450, 296.191, 0.092
630, 0.457, 296.367, -0.049
635, 0.464, 296.279, 0.022
640, 0.471, 296.367, -0.044
645, 0.479, 296.279, 0.026
650, 0.486, 296.279, 0.021
655, 0.493, 296.279, 0.017
660, 0.501, 296.279, 0.014
665, 0.509, 296.279, 0.011
670, 0.516, 296.191, 0.070
675, 0.524, 296.367, -0.067
680, 0.532, 296.279, 0.008
685, 0.539, 296.279, 0.006
690, 0.547, 296.279, 0.005
