time, angle1, vel1, acc1
1821478,328.18, 34.70, 12.62
1826476,339.70, 35.21, 101.34
1831486,351.65, 35.80, 119.04
1836491,4.48, 36.62, 164.45
1841488,17.93, 37.57, 188.90
1846494,31.38, 38.43, 171.30
1851501,44.12, 38.98, 110.59
1856498,56.34, 39.32, 68.30
1861500,67.50, 39.29, -5.49
1866510,77.78, 38.99, -61.43
1871508,87.45, 38.52, -93.81
1876519,96.15, 37.77, -148.53
1881515,105.12, 37.19, -116.17
1886518,113.47, 36.46, -145.73
1891528,122.08, 35.88, -116.58
1896526,131.13, 35.50, -76.77
1901537,140.19, 35.14, -70.70
1906546,150.12, 35.10, -8.53
1911536,160.75, 35.30, 39.38
1916540,172.00, 35.66, 73.34
1921540,183.87, 36.19, 105.66
1926552,196.17, 36.81, 122.48
1931555,208.30, 37.32, 102.39
1936553,220.34, 37.75, 87.35
1941555,231.94, 38.01, 50.50
1946556,242.75, 37.99, -3.68
1951568,252.95, 37.77, -43.69
1956563,262.44, 37.36, -82.75
1961578,271.58, 36.86, -99.99
1966581,280.46, 36.33, -104.59
1971572,289.16, 35.80, -107.46
1976576,297.51, 35.19, -120.43
1981577,306.65, 34.90, -58.82
1986580,316.05, 34.72, -36.83
1991586,326.25, 34.80, 16.66
1996590,337.32, 35.15, 70.60
2001591,349.37, 35.79, 126.68
2006596,1.67, 36.44, 131.32
2011594,15.38, 37.49, 209.25
2016599,29.00, 38.41, 184.36
2021595,42.01, 39.05, 128.30
2026598,54.49, 39.47, 83.18
2031600,65.57, 39.40, -13.61
2036607,76.03, 39.14, -52.03
2041607,85.69, 38.65, -97.43
2046613,94.92, 38.07, -116.37
2051615,103.97, 37.49, -116.90
2056617,112.59, 36.81, -134.09
2061620,120.76, 36.06, -150.35
2066622,129.38, 35.52, -108.51
2071631,138.78, 35.28, -48.78
2076624,148.45, 35.15, -26.04
2081634,158.99, 35.30, 30.26
2086632,170.07, 35.61, 62.56
2091636,181.85, 36.12, 101.03
2096638,193.80, 36.63, 102.89
2101642,206.54, 37.35, 143.55
2106646,218.41, 37.73, 75.47
2111645,230.01, 37.98, 51.41
2116652,241.35, 38.13, 29.72
2121654,251.28, 37.82, -62.20
2126659,261.04, 37.48, -68.00
2131654,270.09, 36.95, -105.40
2136670,278.88, 36.38, -115.12
2141666,287.31, 35.76, -124.27
2146665,296.19, 35.33, -85.79
2151675,305.24, 34.99, -67.86
2156674,314.91, 34.88, -21.31
2161677,324.49, 34.75, -25.33
2166692,335.30, 35.02, 53.63
2171685,347.52, 35.73, 140.72
2176691,359.74, 36.36, 127.03
2181690,13.36, 37.39, 205.02
2186696,26.63, 38.20, 162.83
2191696,39.99, 38.97, 154.64
2196700,52.47, 39.40, 84.43
2201703,63.98, 39.47, 15.32
2206707,74.53, 39.24, -47.10
2211716,84.46, 38.82, -82.77
2216712,93.34, 38.12, -141.18
2221718,102.39, 37.53, -118.36
2226719,110.74, 36.77, -150.20
2231732,119.36, 36.16, -123.51
2236721,127.97, 35.61, -109.84
2241719,137.37, 35.36, -49.34
2246728,147.30, 35.30, -12.49
2251730,157.41, 35.30, 0.59
2256735,168.75, 35.69, 78.33
2261737,180.53, 36.19, 99.83
2266737,192.48, 36.70, 101.74
2271744,204.87, 37.30, 119.92
2276740,217.18, 37.82, 104.51
2281750,228.60, 38.01, 37.78
2286750,240.12, 38.21, 40.48
2291758,250.22, 37.95, -52.44
2296760,259.89, 37.57, -75.73
2301760,269.21, 37.12, -90.66
2306765,278.09, 36.56, -111.12
2311767,286.61, 35.95, -123.22
2316768,295.22, 35.42, -106.26
2321776,304.19, 35.04, -74.57
2326777,313.42, 34.79, -50.78
2331781,323.53, 34.84, 9.95
2336782,334.25, 35.08, 48.27
2341786,346.03, 35.63, 110.30
2346792,358.42, 36.33, 139.61
2351794,12.13, 37.39, 210.85
2356801,25.58, 38.26, 174.46
2361798,38.41, 38.86, 120.08
2366804,51.15, 39.37, 103.33
2371802,62.84, 39.51, 26.86
2376807,73.48, 39.29, -42.87
2381814,83.06, 38.76, -106.39
2386825,92.29, 38.17, -118.81
2391820,100.99, 37.47, -140.57
2396821,109.78, 36.85, -122.32
2401836,118.30, 36.21, -129.61
2406832,127.18, 35.74, -93.30
2411837,136.14, 35.34, -80.55
2416846,145.63, 35.14, -39.98
2421843,155.83, 35.19, 9.62
2426841,166.82, 35.48, 58.75
2431861,178.51, 35.96, 95.76
2436853,190.46, 36.49, 106.80
2441851,202.94, 37.14, 130.23
2446860,214.89, 37.56, 83.81
2451867,227.02, 38.00, 87.23
2456862,237.83, 37.98, -3.25
2461868,248.47, 37.91, -15.37
2466877,258.49, 37.64, -53.20
2471881,267.54, 37.09, -108.88
2476882,276.42, 36.54, -110.27
2481881,284.94, 35.93, -122.28
2486891,293.91, 35.51, -84.81
2491897,302.52, 35.02, -97.58
2496886,311.92, 34.83, -37.63
2501892,321.77, 34.79, -7.93
2506897,332.23, 34.95, 31.89
2511903,343.56, 35.38, 84.86
2516900,356.04, 36.13, 150.35
2521904,8.96, 36.95, 164.14
2526908,22.59, 37.92, 193.73
2531907,36.30, 38.83, 182.01
2536906,48.87, 39.29, 93.56
2541912,60.56, 39.43, 27.90
2546913,71.19, 39.23, -40.94
2551923,81.30, 38.87, -71.47
2556923,90.53, 38.27, -120.07
2561926,99.49, 37.64, -126.48
2566930,108.02, 36.93, -142.52
2571934,116.46, 36.25, -135.37
2576937,125.07, 35.69, -112.05
2581942,134.12, 35.32, -73.80
2586939,143.88, 35.21, -21.63
2591947,153.90, 35.19, -3.95
2596952,164.53, 35.37, 36.04
2601946,176.13, 35.85, 94.41
2606953,188.26, 36.44, 118.71
2611958,200.48, 37.01, 113.52
2616963,212.96, 37.61, 120.52
2621958,224.91, 37.99, 76.57
2626968,236.16, 38.11, 23.41
2631969,246.80, 38.02, -16.98
2636969,256.99, 37.81, -43.08
2641976,265.96, 37.22, -118.28
2646976,274.92, 36.68, -106.67
2651982,283.45, 36.06, -125.67
2656984,292.15, 35.54, -102.53
2661983,300.85, 35.08, -92.83
2666996,310.25, 34.87, -41.37
2671993,319.83, 34.75, -24.41
2676994,330.21, 34.89, 27.71
2682000,341.98, 35.45, 113.14
2687000,353.85, 36.00, 110.03
2692006,7.03, 36.92, 182.60
2697015,20.30, 37.78, 171.71
2702012,33.84, 38.65, 174.43
2707013,46.58, 39.18, 107.24
2712017,58.89, 39.53, 69.91
2717019,69.79, 39.40, -26.71
2722021,79.72, 38.98, -84.46
2727021,89.03, 38.39, -116.68
2732029,98.17, 37.81, -117.81
2737025,106.61, 37.05, -150.56
2742039,115.40, 36.47, -116.39
2747038,123.93, 35.87, -120.98
2752051,132.54, 35.34, -105.60
2757052,142.38, 35.26, -15.34
2762048,152.05, 35.13, -27.17
2767052,163.04, 35.42, 59.35
2772050,174.11, 35.72, 60.18
2777060,186.15, 36.30, 115.40
2782057,198.72, 37.00, 139.29
2787060,210.85, 37.48, 97.64
2792064,222.54, 37.79, 61.27
2797064,234.23, 38.07, 56.38
2802076,244.69, 37.93, -28.34
2807071,254.97, 37.75, -35.55
2812078,264.90, 37.48, -55.35
2817077,273.78, 36.89, -117.06
2822077,282.39, 36.27, -123.31
2827084,290.65, 35.60, -134.38
2832089,299.53, 35.18, -83.80
2837089,308.41, 34.81, -75.03
2842088,318.43, 34.83, 3.66
2847101,328.45, 34.84, 2.69
2852099,339.79, 35.28, 87.22
2857100,351.74, 35.87, 118.69
2862107,4.83, 36.77, 179.33
2867107,18.19, 37.67, 180.41
2872107,31.64, 38.52, 170.01
2877114,44.91, 39.23, 142.40
2882119,56.78, 39.43, 40.37
2887119,68.20, 39.48, 9.36
2892118,78.40, 39.13, -69.55
2897128,87.80, 38.56, -114.63
2902126,96.59, 37.85, -142.17
2907130,105.38, 37.20, -129.77
2912134,113.99, 36.55, -129.05
2917139,122.70, 35.99, -112.09
2922146,131.57, 35.54, -90.74
2927149,141.06, 35.33, -42.76
2932154,150.73, 35.18, -29.09
2937152,161.54, 35.42, 48.07
2942155,173.14, 35.89, 93.21
2947160,185.01, 36.39, 100.92
2952161,197.23, 36.97, 115.17
2957161,209.62, 37.55, 115.75
2962171,221.75, 37.98, 86.51
2967168,233.00, 38.11, 25.60
2972171,243.90, 38.11, -0.04
2977180,254.27, 37.93, -34.66
2982185,264.02, 37.58, -70.18
2987179,272.72, 36.94, -129.33
2992181,281.25, 36.29, -129.58
2997193,289.95, 35.75, -107.80
