Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
2, 0.000, 74.092, -0.181
4, 0.000, 74.004, -0.095
6, 0.000, 74.004, -0.086
8, 0.000, 74.092, -0.148
10, 0.000, 73.916, 0.005
12, 0.000, 74.004, -0.066
14, 0.000, 74.004, -0.060
16, 0.000, 74.092, -0.124
18, 0.000, 74.004, -0.043
20, 0.000, 74.004, -0.039
22, 0.000, 74.092, -0.105
24, 0.001, 74.004, -0.026
26, 0.001, 74.004, -0.023
28, 0.001, 74.004, -0.021
30, 0.001, 74.004, -0.019
32, 0.001, 74.004, -0.018
34, 0.001, 74.004, -0.016
36, 0.001, 74.004, -0.015
38, 0.002, 74.004, -0.013
40, 0.002, 74.004, -0.012
42, 0.002, 74.004, -0.011
44, 0.002, 74.004, -0.010
46, 0.002, 74.004, -0.009
48, 0.003, 74.004, -0.008
50, 0.003, 74.092, -0.077
52, 0.003, 74.004, -0.000
54, 0.003, 74.004, -0.000
56, 0.003, 74.004, -0.000
58, 0.004, 74.004, -0.000
60, 0.004, 74.092, -0.070
62, 0.004, 74.004, 0.006
64, 0.005, 74.004, 0.006
66, 0.005, 74.004, 0.005
68, 0.005, 74.004, 0.005
70, 0.005, 74.004, 0.004
72, 0.006, 74.004, 0.004
74, 0.006, 73.916, 0.073
76, 0.006, 74.004, -0.003
78, 0.007, 74.004, -0.003
80, 0.007, 73.916, 0.067
82, 0.008, 74.004, -0.009
84, 0.008, 74.004, -0.008
86, 0.008, 74.004, -0.007
88, 0.009, 74.004, -0.006
90, 0.009, 74.004, -0.006
92, 0.010, 74.092, -0.075
94, 0.010, 74.004, 0.001
96, 0.010, 74.004, 0.001
98, 0.011, 74.092, -0.069
100, 0.011, 74.004, 0.007
102, 0.012, 74.004, 0.007
104, 0.012, 74.004, 0.006
106, 0.013, 74.004, 0.006
108, 0.013, 74.004, 0.005
110, 0.014, 74.004, 0.005
112, 0.014, 74.004, 0.004
114, 0.015, 74.004, 0.004
116, 0.015, 74.004, 0.003
118, 0.016, 74.004, 0.003
120, 0.016, 74.092, -0.067
122, 0.017, 74.004, 0.009
124, 0.018, 74.004, 0.008
126, 0.018, 73.916, 0.077
128, 0.019, 74.004, 0.000
130, 0.019, 74.004, 0.000
132, 0.020, 74.004, 0.000
134, 0.021, 74.004, 0.000
136, 0.021, 74.004, 0.000
138, 0.022, 74.004, 0.000
140, 0.023, 73.916, 0.070
142, 0.023, 74.092, -0.076
144, 0.024, 74.004, 0.001
146, 0.025, 74.004, 0.001
148, 0.025, 74.004, 0.001
150, 0.026, 74.004, 0.001
152, 0.027, 74.004, 0.001
154, 0.027, 74.004, 0.000
156, 0.028, 74.004, 0.000
158, 0.029, 74.004, 0.000
160, 0.030, 73.916, 0.070
162, 0.030, 74.004, -0.006
164, 0.031, 74.004, -0.006
166, 0.032, 73.916, 0.065
168, 0.033, 74.004, -0.011
170, 0.033, 74.004, -0.010
172, 0.034, 74.092, -0.079
174, 0.035, 74.004, -0.002
176, 0.036, 74.004, -0.002
178, 0.037, 74.004, -0.002
180, 0.037, 74.092, -0.071
182, 0.038, 73.916, 0.075
184, 0.039, 74.004, -0.002
186, 0.040, 74.004, -0.002
188, 0.041, 74.004, -0.001
190, 0.042, 74.092, -0.071
192, 0.043, 74.004, 0.005
194, 0.044, 74.004, 0.005
196, 0.045, 74.092, -0.065
198, 0.045, 74.004, 0.010
200, 0.046, 74.004, 0.009
202, 0.047, 74.004, 0.009
204, 0.048, 74.004, 0.008
206, 0.049, 74.092, -0.063
208, 0.050, 74.004, 0.013
210, 0.051, 74.004, 0.012
212, 0.052, 74.004, 0.011
214, 0.053, 74.004, 0.010
216, 0.054, 74.092, -0.061
218, 0.055, 74.004, 0.014
220, 0.056, 74.004, 0.013
222, 0.057, 74.092, -0.058
224, 0.058, 73.916, 0.087
226, 0.059, 74.004, 0.009
228, 0.060, 74.004, 0.009
230, 0.061, 74.004, 0.008
232, 0.063, 74.004, 0.007
234, 0.064, 74.004, 0.006
236, 0.065, 73.916, 0.076
238, 0.066, 74.004, -0.001
240, 0.067, 74.092, -0.071
242, 0.068, 74.004, 0.005
244, 0.069, 74.004, 0.005
246, 0.070, 74.004, 0.005
248, 0.072, 74.004, 0.004
250, 0.073, 74.004, 0.004
252, 0.074, 74.004, 0.003
254, 0.075, 74.004, 0.003
256, 0.076, 74.004, 0.003
258, 0.077, 74.092, -0.067
260, 0.079, 73.916, 0.078
262, 0.080, 74.092, -0.068
264, 0.081, 74.004, 0.007
266, 0.082, 74.004, 0.007
268, 0.084, 74.004, 0.006
270, 0.085, 74.004, 0.006
272, 0.086, 74.004, 0.005
274, 0.087, 74.092, -0.065
276, 0.089, 74.004, 0.011
278, 0.090, 74.004, 0.010
280, 0.091, 73.916, 0.079
282, 0.093, 73.916, 0.071
284, 0.094, 73.916, 0.065
286, 0.095, 73.916, 0.059
