Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
2, 0.000, 361.000, 0.000
4, 6.004, 183.076, 139.351
6, 6.008, 182.988, 126.856
8, 6.011, 183.076, 115.269
10, 6.015, 183.164, 104.740
12, 6.019, 183.252, 95.174
14, 6.023, 183.516, 86.309
16, 6.026, 183.691, 78.330
18, 6.030, 183.867, 71.086
20, 6.034, 184.131, 64.420
22, 6.038, 184.570, 58.223
24, 6.041, 184.746, 52.790
26, 6.045, 185.273, 47.586
28, 6.049, 185.713, 42.917
30, 6.053, 186.064, 38.740
32, 6.057, 186.416, 34.947
34, 6.060, 186.943, 31.346
36, 6.064, 187.471, 28.076
38, 6.068, 188.086, 25.042
40, 6.072, 188.525, 22.417
42, 6.075, 189.229, 19.826
44, 6.079, 189.932, 17.469
46, 6.083, 190.547, 15.393
48, 6.087, 191.074, 13.578
50, 6.090, 191.865, 11.716
52, 6.094, 192.480, 10.162
54, 6.098, 193.271, 8.613
56, 6.102, 194.062, 7.203
58, 6.106, 194.854, 5.918
60, 6.109, 195.732, 4.685
62, 6.113, 196.436, 3.699
64, 6.117, 197.314, 2.667
66, 6.121, 198.281, 1.657
68, 6.124, 199.160, 0.809
70, 6.128, 200.039, 0.037
72, 6.132, 201.006, -0.733
74, 6.136, 201.973, -1.433
76, 6.139, 203.027, -2.141
78, 6.143, 203.906, -2.643
80, 6.147, 204.961, -3.241
82, 6.151, 206.104, -3.850
84, 6.155, 207.246, -4.410
86, 6.158, 208.301, -4.846
88, 6.162, 209.268, -5.175
90, 6.166, 210.498, -5.677
92, 6.170, 211.553, -6.001
94, 6.173, 212.695, -6.368
96, 6.177, 213.838, -6.701
98, 6.181, 215.068, -7.069
100, 6.185, 215.947, -7.124
102, 6.188, 217.178, -7.452
104, 6.192, 218.408, -7.752
106, 6.196, 219.463, -7.885
108, 6.200, 220.693, -8.146
110, 6.204, 221.924, -8.382
112, 6.207, 223.242, -8.667
114, 6.211, 224.385, -8.788
116, 6.215, 225.615, -8.967
118, 6.219, 226.846, -9.130
120, 6.222, 228.076, -9.275
122, 6.226, 229.395, -9.478
124, 6.230, 230.537, -9.526
126, 6.234, 231.855, -9.708
128, 6.237, 233.086, -9.800
130, 6.241, 234.229, -9.819
132, 6.245, 235.459, -9.904
134, 6.249, 236.689, -9.981
