Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 79.102, -0.267
10, 0.000, 79.189, -0.275
15, 0.000, 79.189, -0.220
20, 0.000, 79.189, -0.176
25, 0.000, 79.189, -0.141
30, 0.001, 79.102, -0.051
35, 0.001, 79.277, -0.164
40, 0.001, 79.102, -0.008
45, 0.002, 79.189, -0.068
50, 0.002, 79.277, -0.116
55, 0.003, 79.189, -0.031
60, 0.004, 79.102, 0.036
65, 0.004, 79.277, -0.094
70, 0.005, 79.189, -0.014
75, 0.006, 79.102, 0.051
80, 0.007, 79.189, -0.021
85, 0.008, 79.102, 0.045
90, 0.009, 79.189, -0.026
95, 0.010, 79.189, -0.021
100, 0.011, 79.189, -0.016
105, 0.012, 79.189, -0.013
110, 0.013, 79.102, 0.051
115, 0.014, 79.102, 0.041
120, 0.016, 79.189, -0.029
125, 0.017, 79.189, -0.023
130, 0.018, 79.102, 0.043
135, 0.020, 79.277, -0.088
140, 0.022, 79.102, 0.052
145, 0.023, 79.189, -0.020
150, 0.025, 79.189, -0.016
155, 0.027, 79.189, -0.013
160, 0.028, 79.189, -0.010
165, 0.030, 79.102, 0.053
170, 0.032, 79.189, -0.019
175, 0.034, 79.102, 0.046
180, 0.036, 79.189, -0.024
185, 0.038, 79.102, 0.042
190, 0.040, 79.189, -0.028
195, 0.043, 79.102, 0.039
200, 0.045, 79.102, 0.031
205, 0.047, 79.277, -0.098
210, 0.050, 79.189, -0.017
215, 0.052, 79.189, -0.013
220, 0.055, 79.102, 0.051
225, 0.057, 79.189, -0.021
230, 0.060, 79.102, 0.045
235, 0.063, 79.102, 0.036
240, 0.065, 79.189, -0.033
245, 0.068, 79.102, 0.035
250, 0.071, 79.102, 0.028
255, 0.074, 79.102, 0.022
260, 0.077, 79.189, -0.043
265, 0.080, 79.102, 0.027
270, 0.083, 79.189, -0.040
275, 0.086, 79.102, 0.029
280, 0.089, 79.189, -0.038
285, 0.093, 79.102, 0.031
290, 0.096, 79.277, -0.098
295, 0.099, 79.102, 0.044
300, 0.103, 79.102, 0.036
305, 0.106, 79.189, -0.033
310, 0.110, 79.189, -0.026
315, 0.113, 79.189, -0.021
320, 0.117, 79.102, 0.045
325, 0.121, 79.189, -0.026
