Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 266.221, 0.265
10, 0.000, 266.221, 0.213
15, 0.000, 266.221, 0.170
20, 0.000, 266.221, 0.136
25, 0.000, 266.221, 0.109
30, 0.001, 266.221, 0.087
35, 0.001, 266.221, 0.070
40, 0.001, 266.221, 0.056
45, 0.002, 266.133, 0.106
50, 0.002, 266.221, 0.023
55, 0.003, 266.221, 0.019
60, 0.004, 266.221, 0.015
65, 0.004, 266.221, 0.012
70, 0.005, 266.221, 0.010
75, 0.006, 266.221, 0.008
80, 0.007, 266.133, 0.068
85, 0.008, 266.221, -0.007
90, 0.009, 266.221, -0.006
95, 0.010, 266.221, -0.005
100, 0.011, 266.221, -0.004
105, 0.012, 266.309, -0.064
110, 0.013, 266.221, 0.010
115, 0.014, 266.221, 0.008
120, 0.016, 266.221, 0.006
125, 0.017, 266.309, -0.056
130, 0.018, 266.221, 0.016
135, 0.020, 266.221, 0.013
140, 0.022, 266.221, 0.010
145, 0.023, 266.221, 0.008
150, 0.025, 266.221, 0.007
155, 0.027, 266.221, 0.005
160, 0.028, 266.221, 0.004
165, 0.030, 266.221, 0.003
170, 0.032, 266.133, 0.064
175, 0.034, 266.221, -0.010
180, 0.036, 266.221, -0.008
185, 0.038, 266.221, -0.006
190, 0.040, 266.133, 0.056
195, 0.043, 266.221, -0.016
200, 0.045, 266.133, 0.048
205, 0.047, 266.221, -0.023
210, 0.050, 266.221, -0.018
215, 0.052, 266.221, -0.015
220, 0.055, 266.221, -0.012
225, 0.057, 266.221, -0.009
230, 0.060, 266.221, -0.007
235, 0.063, 266.309, -0.067
240, 0.065, 266.221, 0.007
245, 0.068, 266.221, 0.006
250, 0.071, 266.221, 0.005
255, 0.074, 266.221, 0.004
260, 0.077, 266.309, -0.058
265, 0.080, 266.221, 0.015
270, 0.083, 266.221, 0.012
275, 0.086, 266.309, -0.052
280, 0.089, 266.221, 0.020
285, 0.093, 266.221, 0.016
290, 0.096, 266.221, 0.013
295, 0.099, 266.221, 0.010
300, 0.103, 266.221, 0.008
305, 0.106, 266.133, 0.068
310, 0.110, 266.221, -0.007
315, 0.113, 266.221, -0.006
320, 0.117, 266.221, -0.005
325, 0.121, 266.221, -0.004
330, 0.125, 266.221, -0.003
335, 0.129, 266.221, -0.002
340, 0.132, 266.221, -0.002
345, 0.136, 266.133, 0.060
350, 0.140, 266.221, -0.013
355, 0.144, 266.221, -0.011
360, 0.149, 266.221, -0.009
365, 0.153, 266.309, -0.068
370, 0.157, 266.221, 0.007
375, 0.161, 266.221, 0.005
380, 0.166, 266.309, -0.057
385, 0.170, 266.133, 0.077
390, 0.175, 266.221, 0.000
395, 0.179, 266.221, 0.000
400, 0.184, 266.309, -0.061
405, 0.189, 266.221, 0.012
410, 0.193, 266.221, 0.010
415, 0.198, 266.133, 0.069
420, 0.203, 266.221, -0.006
425, 0.208, 266.221, -0.005
430, 0.213, 266.221, -0.004
435, 0.218, 266.133, 0.058
440, 0.223, 266.221, -0.015
445, 0.228, 266.309, -0.073
450, 0.233, 266.221, 0.003
455, 0.238, 266.221, 0.002
460, 0.244, 266.221, 0.002
465, 0.249, 266.221, 0.001
470, 0.254, 266.309, -0.060
475, 0.260, 266.221, 0.013
480, 0.265, 266.221, 0.011
485, 0.271, 266.221, 0.008
490, 0.276, 266.221, 0.007
495, 0.282, 266.221, 0.005
