Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 271.670, 0.090
10, 0.000, 271.582, 0.133
15, 0.000, 271.582, 0.106
20, 0.000, 271.582, 0.085
25, 0.000, 271.670, 0.007
30, 0.001, 271.582, 0.067
35, 0.001, 271.582, 0.053
40, 0.001, 271.582, 0.043
45, 0.002, 271.670, -0.027
50, 0.002, 271.582, 0.040
55, 0.003, 271.582, 0.032
60, 0.004, 271.670, -0.036
65, 0.004, 271.582, 0.033
70, 0.005, 271.582, 0.026
75, 0.006, 271.582, 0.021
80, 0.007, 271.670, -0.045
85, 0.008, 271.670, -0.036
90, 0.009, 271.758, -0.090
95, 0.010, 271.670, -0.011
100, 0.011, 271.670, -0.009
105, 0.012, 271.670, -0.007
110, 0.013, 271.670, -0.005
115, 0.014, 271.582, 0.057
120, 0.016, 271.582, 0.046
125, 0.017, 271.582, 0.036
130, 0.018, 271.670, -0.032
135, 0.020, 271.670, -0.026
140, 0.022, 271.582, 0.041
145, 0.023, 271.670, -0.029
150, 0.025, 271.582, 0.038
155, 0.027, 271.670, -0.031
160, 0.028, 271.582, 0.037
165, 0.030, 271.582, 0.029
170, 0.032, 271.670, -0.038
175, 0.034, 271.670, -0.030
180, 0.036, 271.582, 0.037
185, 0.038, 271.582, 0.030
190, 0.040, 271.582, 0.024
195, 0.043, 271.670, -0.042
200, 0.045, 271.670, -0.034
205, 0.047, 271.670, -0.027
210, 0.050, 271.670, -0.022
215, 0.052, 271.582, 0.044
220, 0.055, 271.670, -0.026
225, 0.057, 271.670, -0.021
230, 0.060, 271.582, 0.045
235, 0.063, 271.670, -0.026
240, 0.065, 271.670, -0.021
245, 0.068, 271.670, -0.016
250, 0.071, 271.670, -0.013
255, 0.074, 271.582, 0.051
260, 0.077, 271.670, -0.021
265, 0.080, 271.582, 0.045
270, 0.083, 271.670, -0.026
275, 0.086, 271.582, 0.041
280, 0.089, 271.582, 0.033
285, 0.093, 271.670, -0.035
290, 0.096, 271.670, -0.028
295, 0.099, 271.670, -0.023
300, 0.103, 271.670, -0.018
305, 0.106, 271.670, -0.014
310, 0.110, 271.582, 0.050
315, 0.113, 271.582, 0.040
320, 0.117, 271.582, 0.032
325, 0.121, 271.670, -0.036
330, 0.125, 271.758, -0.090
335, 0.129, 271.582, 0.051
340, 0.132, 271.670, -0.021
345, 0.136, 271.670, -0.017
350, 0.140, 271.582, 0.048
355, 0.144, 271.670, -0.023
360, 0.149, 271.670, -0.018
365, 0.153, 271.582, 0.047
370, 0.157, 271.582, 0.037
375, 0.161, 271.670, -0.031
380, 0.166, 271.582, 0.036
385, 0.170, 271.582, 0.029
390, 0.175, 271.582, 0.023
395, 0.179, 271.582, 0.019
400, 0.184, 271.582, 0.015
405, 0.189, 271.582, 0.012
410, 0.193, 271.670, -0.052
415, 0.198, 271.582, 0.020
420, 0.203, 271.670, -0.045
425, 0.208, 271.582, 0.025
430, 0.213, 271.582, 0.020
435, 0.218, 271.670, -0.045
440, 0.223, 271.670, -0.036
445, 0.228, 271.670, -0.029
450, 0.233, 271.670, -0.023
455, 0.238, 271.670, -0.019
460, 0.244, 271.670, -0.015
465, 0.249, 271.582, 0.049
470, 0.254, 271.582, 0.040
475, 0.260, 271.670, -0.030
480, 0.265, 271.582, 0.038
485, 0.271, 271.670, -0.031
490, 0.276, 271.670, -0.025
495, 0.282, 271.670, -0.020
500, 0.288, 271.582, 0.045
505, 0.294, 271.582, 0.036
510, 0.300, 271.582, 0.029
515, 0.305, 271.670, -0.038
520, 0.311, 271.670, -0.030
525, 0.317, 271.670, -0.024
530, 0.323, 271.670, -0.020
535, 0.330, 271.582, 0.046
540, 0.336, 271.670, -0.025
545, 0.342, 271.670, -0.020
550, 0.348, 271.582, 0.046
555, 0.355, 271.582, 0.036
560, 0.361, 271.582, 0.029
565, 0.368, 271.670, -0.038
570, 0.374, 271.582, 0.031
575, 0.381, 271.670, -0.037
580, 0.387, 271.670, -0.029
585, 0.394, 271.582, 0.038
590, 0.401, 271.582, 0.030
595, 0.408, 271.670, -0.037
600, 0.414, 271.670, -0.030
605, 0.421, 271.582, 0.038
610, 0.428, 271.582, 0.030
615, 0.435, 271.582, 0.024
620, 0.442, 271.670, -0.042
625, 0.450, 271.758, -0.095
630, 0.457, 271.670, -0.015
635, 0.464, 271.582, 0.050
640, 0.471, 271.670, -0.022
645, 0.479, 271.582, 0.044
650, 0.486, 271.582, 0.035
655, 0.493, 271.670, -0.033
660, 0.501, 271.582, 0.035
665, 0.509, 271.582, 0.028
670, 0.516, 271.582, 0.022
675, 0.524, 271.582, 0.018
680, 0.532, 271.582, 0.014
685, 0.539, 271.494, 0.073
690, 0.547, 271.670, -0.065
695, 0.555, 271.670, -0.052
700, 0.563, 271.582, 0.020
705, 0.571, 271.670, -0.045
710, 0.579, 271.670, -0.036
715, 0.587, 271.758, -0.090
720, 0.595, 271.670, -0.011
725, 0.604, 271.670, -0.009
730, 0.612, 271.670, -0.007
735, 0.620, 271.670, -0.006
740, 0.629, 271.582, 0.057
745, 0.637, 271.582, 0.046
750, 0.645, 271.582, 0.036
755, 0.654, 271.582, 0.029
760, 0.663, 271.582, 0.023
765, 0.671, 271.670, -0.043
770, 0.680, 271.582, 0.027
775, 0.689, 271.670, -0.040
780, 0.697, 271.582, 0.030
785, 0.706, 271.582, 0.024
790, 0.715, 271.582, 0.019
795, 0.724, 271.670, -0.046
800, 0.733, 271.758, -0.098
805, 0.742, 271.670, -0.017
810, 0.751, 271.582, 0.048
815, 0.760, 271.670, -0.023
820, 0.770, 271.582, 0.043
825, 0.779, 271.670, -0.027
830, 0.788, 271.758, -0.083
835, 0.798, 271.758, -0.066
840, 0.807, 271.670, 0.008
845, 0.816, 271.670, 0.007
850, 0.826, 271.758, -0.056
855, 0.836, 271.670, 0.016
860, 0.845, 271.670, 0.013
865, 0.855, 271.670, 0.011
870, 0.865, 271.670, 0.008
875, 0.874, 271.758, -0.055
880, 0.884, 271.934, -0.167
885, 0.894, 272.021, -0.195
890, 0.904, 272.285, -0.340
895, 0.914, 272.549, -0.456
900, 0.924, 272.637, -0.426
905, 0.934, 272.812, -0.464
910, 0.944, 273.076, -0.555
915, 0.954, 273.340, -0.628
920, 0.965, 273.604, -0.687
925, 0.975, 273.867, -0.734
930, 0.985, 274.219, -0.832
935, 0.996, 274.482, -0.850
940, 1.006, 274.834, -0.926
945, 1.016, 275.098, -0.925
950, 1.027, 275.361, -0.924
955, 1.038, 275.801, -1.046
960, 1.048, 276.240, -1.144
965, 1.059, 276.592, -1.161
970, 1.070, 276.855, -1.113
975, 1.080, 277.295, -1.197
980, 1.091, 277.734, -1.265
985, 1.102, 278.086, -1.257
990, 1.113, 278.525, -1.313
995, 1.124, 278.877, -1.296
1000, 1.135, 279.404, -1.404
1005, 1.146, 279.756, -1.370
1010, 1.157, 280.107, -1.341
1015, 1.168, 280.635, -1.441
1020, 1.179, 281.074, -1.460
1025, 1.191, 281.514, -1.475
