Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 221.660, 0.392
10, 0.000, 221.748, 0.253
15, 0.000, 221.660, 0.264
20, 0.000, 221.660, 0.211
25, 0.000, 221.660, 0.169
30, 0.001, 221.572, 0.196
35, 0.001, 221.660, 0.096
40, 0.001, 221.660, 0.077
45, 0.002, 221.748, -0.000
50, 0.002, 221.660, 0.061
55, 0.003, 221.660, 0.049
60, 0.004, 221.748, -0.022
65, 0.004, 221.660, 0.044
70, 0.005, 221.572, 0.096
75, 0.006, 221.748, -0.046
80, 0.007, 221.660, 0.025
85, 0.008, 221.660, 0.020
90, 0.009, 221.572, 0.077
95, 0.010, 221.748, -0.061
100, 0.011, 221.660, 0.013
105, 0.012, 221.660, 0.010
110, 0.013, 221.660, 0.008
115, 0.014, 221.660, 0.007
120, 0.016, 221.660, 0.005
125, 0.017, 221.660, 0.004
130, 0.018, 221.660, 0.003
135, 0.020, 221.660, 0.003
140, 0.022, 221.660, 0.002
145, 0.023, 221.660, 0.002
150, 0.025, 221.572, 0.063
155, 0.027, 221.660, -0.011
160, 0.028, 221.572, 0.052
165, 0.030, 221.660, -0.019
170, 0.032, 221.660, -0.016
175, 0.034, 221.660, -0.012
180, 0.036, 221.660, -0.010
185, 0.038, 221.660, -0.008
190, 0.040, 221.660, -0.006
195, 0.043, 221.660, -0.005
200, 0.045, 221.660, -0.004
205, 0.047, 221.660, -0.003
210, 0.050, 221.660, -0.003
215, 0.052, 221.660, -0.002
220, 0.055, 221.660, -0.002
225, 0.057, 221.660, -0.001
230, 0.060, 221.660, -0.001
235, 0.063, 221.660, -0.001
240, 0.065, 221.660, -0.001
245, 0.068, 221.660, -0.001
250, 0.071, 221.660, -0.000
255, 0.074, 221.660, -0.000
260, 0.077, 221.660, -0.000
265, 0.080, 221.660, -0.000
270, 0.083, 221.572, 0.061
275, 0.086, 221.660, -0.012
280, 0.089, 221.660, -0.010
285, 0.093, 221.572, 0.053
