Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 189.932, 0.575
10, 0.000, 190.020, 0.399
15, 0.000, 189.932, 0.381
20, 0.000, 190.020, 0.243
25, 0.000, 190.020, 0.195
30, 0.001, 190.020, 0.156
35, 0.001, 190.020, 0.125
40, 0.001, 190.020, 0.100
45, 0.002, 190.020, 0.080
50, 0.002, 190.020, 0.064
55, 0.003, 190.020, 0.051
60, 0.004, 190.020, 0.041
65, 0.004, 190.020, 0.033
70, 0.005, 190.020, 0.026
75, 0.006, 190.020, 0.021
80, 0.007, 189.932, 0.078
85, 0.008, 190.020, 0.001
90, 0.009, 190.020, 0.001
95, 0.010, 190.020, 0.001
100, 0.011, 190.020, 0.001
105, 0.012, 190.020, 0.000
110, 0.013, 190.020, 0.000
115, 0.014, 190.020, 0.000
120, 0.016, 190.020, 0.000
125, 0.017, 190.020, 0.000
130, 0.018, 190.020, 0.000
135, 0.020, 190.020, 0.000
140, 0.022, 190.020, 0.000
145, 0.023, 189.932, 0.061
150, 0.025, 190.020, -0.012
155, 0.027, 190.107, -0.071
160, 0.028, 190.020, 0.005
165, 0.030, 189.932, 0.065
170, 0.032, 190.020, -0.009
175, 0.034, 190.020, -0.007
180, 0.036, 190.107, -0.067
185, 0.038, 190.020, 0.007
190, 0.040, 190.020, 0.006
195, 0.043, 190.020, 0.005
200, 0.045, 189.932, 0.065
205, 0.047, 190.020, -0.009
210, 0.050, 190.020, -0.007
215, 0.052, 190.020, -0.006
220, 0.055, 190.020, -0.005
225, 0.057, 189.932, 0.058
230, 0.060, 190.020, -0.015
235, 0.063, 189.932, 0.049
240, 0.065, 190.107, -0.083
245, 0.068, 190.020, -0.005
250, 0.071, 190.020, -0.004
255, 0.074, 189.932, 0.058
260, 0.077, 190.020, -0.015
265, 0.080, 189.932, 0.049
270, 0.083, 189.932, 0.040
275, 0.086, 190.020, -0.030
280, 0.089, 190.020, -0.024
285, 0.093, 190.020, -0.019
290, 0.096, 190.020, -0.015
295, 0.099, 189.932, 0.049
300, 0.103, 190.020, -0.022
305, 0.106, 189.932, 0.044
310, 0.110, 190.020, -0.026
315, 0.113, 190.020, -0.021
320, 0.117, 189.932, 0.045
325, 0.121, 190.020, -0.026
330, 0.125, 189.932, 0.041
335, 0.129, 190.020, -0.029
340, 0.132, 190.020, -0.023
345, 0.136, 189.932, 0.043
350, 0.140, 190.020, -0.027
355, 0.144, 190.020, -0.022
360, 0.149, 190.020, -0.017
